row_class,method,surface,claim_class,communicated_object,source_private,source_text_exposed,source_kv_exposed,source_destroying_controls,accuracy,delta_vs_target,raw_payload_bytes,line_bytes_b1,dma_bytes_b1,line_bytes_b64,dma_bytes_b64,ttft_p50_ms,ttft_delta_vs_packet_ms,ttft_slo_500_margin_ms,ttft_slo_750_margin_ms,ttft_slo_1000_margin_ms,ttft_measurement_available,tpot_has_measurement,goodput_claim_allowed,gpu_counter_required,batching_claim,paper_claim
endpoint_packet,LatentWire endpoint packet,core n160 label_strict,mac_endpoint_proxy,diagnostic atom packet,true,false,false,passed,0.675,0.425,2,64,128,5,6,471.636,0,28.3643,278.364,528.364,true,false,false,true,packet records can be packed contiguously; batch-64 line/DMA bytes are reported,Mac endpoint TTFT proxy plus packet efficacy; production TPOT/goodput not claimed
endpoint_packet,LatentWire endpoint packet,holdout n160 label_strict,mac_endpoint_proxy,diagnostic atom packet,true,false,false,passed,0.6875,0.4375,2,64,128,5,6,547.21,0,-47.2105,202.79,452.79,true,false,false,true,packet records can be packed contiguously; batch-64 line/DMA bytes are reported,Mac endpoint TTFT proxy plus packet efficacy; production TPOT/goodput not claimed
endpoint_text_relay,query-aware diagnostic text,core n160 label_strict,text_relay_comparator,private diagnostic text,false,true,false,not_applicable,,,14,64,128,,,,,,,,false,false,false,true,"text relay may batch at serving layer, but this artifact does not claim text packing",visible private-text byte/privacy comparator; no TTFT measurement
endpoint_text_relay,full hidden-log relay,core n160 label_strict,text_relay_comparator,private diagnostic text,false,true,false,not_applicable,,,366.5,384,384,,,635.909,164.273,-135.909,114.091,364.091,true,false,false,true,"text relay may batch at serving layer, but this artifact does not claim text packing",Mac endpoint TTFT proxy for full private text relay; production goodput not claimed
endpoint_text_relay,query-aware diagnostic text,holdout n160 label_strict,text_relay_comparator,private diagnostic text,false,true,false,not_applicable,,,14,64,128,,,,,,,,false,false,false,true,"text relay may batch at serving layer, but this artifact does not claim text packing",visible private-text byte/privacy comparator; no TTFT measurement
endpoint_text_relay,full hidden-log relay,holdout n160 label_strict,text_relay_comparator,private diagnostic text,false,true,false,not_applicable,,,373.5,384,384,,,730.755,183.545,-230.755,19.2445,269.245,true,false,false,true,"text relay may batch at serving layer, but this artifact does not claim text packing",Mac endpoint TTFT proxy for full private text relay; production goodput not claimed
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,medium_confirmation_accounting,semantic-anchor atom packet,true,false,false,passed,,,4,64,128,7,8,,,,,,false,false,false,true,packet records can be packed contiguously; batch-64 line/DMA bytes are reported,medium source-private rate/control evidence; no serving TTFT claim
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,medium_confirmation_accounting,semantic-anchor atom packet,true,false,false,passed,,,8,64,128,11,12,,,,,,false,false,false,true,packet records can be packed contiguously; batch-64 line/DMA bytes are reported,medium source-private rate/control evidence; no serving TTFT claim
kv_byte_floor,QJL-style 1-bit source KV byte floor,endpoint source context byte accounting,kv_cache_lower_bound,quantized source KV/cache tensor,false,false,true,not_applicable,,,21504,21504,21504,,,,,,,,false,false,false,true,KV/cache rows require native serving implementation before batching claims,KV/cache byte-floor comparator only; native KV transport not run
kv_byte_floor,KIVI/KVQuant-style 2-bit source KV byte floor,endpoint source context byte accounting,kv_cache_lower_bound,quantized source KV/cache tensor,false,false,true,not_applicable,,,43008,43008,43008,,,,,,,,false,false,false,true,KV/cache rows require native serving implementation before batching claims,KV/cache byte-floor comparator only; native KV transport not run
