branch,model_scope,status,failure_signal,interpretation,next_action,source
Static top-1/static union,Granite,KILL,static/union controls did not recover consistently,Channel identity drift breaks static protection,Keep as design-logic negative,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
M2 position switching,Granite,KILL,hard discontinuities lost to random controls,Discontinuous set changes are harmful,Do not rerun hard switching,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
M10 position bins,Granite,KILL,coarse bins still induced boundary artifacts,Position bins do not solve switch discontinuity,Do not rerun hard bins,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
M11 EMA top-1%,Granite,KILL,top-1 percent budget too small,EMA signal alone is under-budgeted,Use only as mechanism evidence,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
M11b top-5,Granite,AMBIG,median 0.449 but CI95 [-1.301, 1.001],Tail/no-gap instability prevents clean PASS,Lower priority after rotation PASS,artifacts/external_review_pack/v1_rotation_delta_pack_20260528_1506/tables/current_method_matrix.csv
M11b top-10,Nemotron,PASS_BUT_SUPERSEDED,median 0.815 but ParoQuant median 1.047,M11b works but rotation is stronger on Nemotron,Use as comparison not headline,artifacts/external_review_pack/v1_rotation_delta_pack_20260528_1506/tables/v1_vs_m11b_nemotron.csv
M11b top-10,DeepSeek,AMBIG,median 0.335 CI crosses negative,EMA not reliable enough,Test rotation before new channel methods,artifacts/external_review_pack/v1_rotation_delta_pack_20260528_1506/tables/current_method_matrix.csv
M11b top-10,Falcon-H1,KILL,median 0.044 CI95 [-0.144, 0.203],Falcon resists simple EMA channel protection,Test rotation then branch/surface fallback,artifacts/external_review_pack/v1_rotation_delta_pack_20260528_1506/tables/current_method_matrix.csv
ParoQuant+M11b,Granite,KILL,median 0.565 below ParoQuant 0.754,Naive composition is sub-additive,Do not rerun naive composition,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
M18 activation+K,Granite,KILL,median -0.344 with large negative tail,Extra coupling injects instability,Do not rerun,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
M26 stable core,Granite,AMBIG,median 0.178 with CI crossing negative,Stable channels alone do not solve drift,Keep as negative/limited evidence,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
DecDEC proxy,Granite,KILL,median -0.070 with negative CI tail,Short-horizon dynamic selection does not transfer,Use for scoop positioning only,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
M-PRED,Granite/DeepSeek/Falcon,KILL,Granite median -7.746 and catastrophic negative tail,Broadband drift defeats simple prediction,Do not rerun AR/Kalman prediction,artifacts/external_review_pack/om_positive_method_pack_20260528_0536/tables/experiment_summary.csv
WJAC prefilter,all cached slices,KILL,Spearman 0.998-0.9997 and high overlap with EMA,Weight-norm proxy adds little beyond magnitude EMA,Do not run WJAC endpoint scoring,artifacts/wjac_prefilter/report.md
RISKGUARD,Granite,DEFERRED,leave-one-trace-out trigger unstable,Tail-cutter not robust offline,Do not GPU-confirm yet,artifacts/riskguard/report.md
LAMBDA,Falcon/DeepSeek,SMOKE_ONLY,heterogeneity authorizes smoke but no endpoint evidence,Layer budget may help Falcon if rotation fails,Run only after ParoQuant Falcon result,artifacts/lambda_falcon/decision.json
HYST,Falcon/DeepSeek,SMOKE_ONLY,churn pattern authorizes Falcon margin-5 smoke,Hysteresis may reduce switch churn if rotation fails,Run only after ParoQuant Falcon result,artifacts/hyst_falcon/decision.json
M-SURFACE,Granite/Falcon,DEFERRED,no cached internal activations,Surface-local drift may reveal lower-drift target,Run cheap diagnostic if rotation/channel rescue ambiguous,artifacts/msurface/decision.json
M-BRANCH,Falcon-H1,DEFERRED,no branch-local cache yet,Parallel mixer branch surfaces may have lower drift,Run only if Falcon rotation is weak and hooks are ready,artifacts/mbranch/decision.json

