category,baseline,source,what_transfers,source_private,byte_regime,receiver_training,target_access,included_in_current_eval,latentwire_distinction,still_needed
dense_cache_transfer,Cache-to-Cache (C2C),https://openreview.net/forum?id=LeatkxrBCi,projected source KV cache fused into target KV cache,"no, dense source cache state crosses the interface",high bandwidth KV/cache state,learned projection/gating,target internals,systems-boundary comparator only,LatentWire transmits tiny source-private packets and evaluates utility per byte; it does not claim raw-accuracy or native serving wins over C2C.,direct native C2C run on matching models/tasks for any stronger claim
dense_cache_transfer,Latent Space Communication via K-V Cache Alignment,https://arxiv.org/abs/2601.06123,aligned prefix K/V cache from source model into target model decoding,"no, aligned cache state crosses the boundary",dense K/V cache state,cache alignment map,target cache path,related-work boundary,K/V cache alignment is a direct dense latent-communication competitor; LatentWire must claim only low-rate packet transfer unless direct cache alignment rows are run.,direct comparison if claiming broad latent communication novelty
kv_cache_serving,DroidSpeak,https://arxiv.org/abs/2411.02820,compatible KV caches across distributed LLM nodes,"no, cache state is reused",KV/cache state,serving/runtime method,compatible architecture cache path,related-work and systems-boundary comparator,DroidSpeak is cache reuse; LatentWire studies source-private task packets with wrong-row and source-choice controls.,native serving comparison only after GPU setup
kv_cache_serving,KVCOMM,https://arxiv.org/abs/2510.12872,cross-context KV-cache information for multi-agent inference,"no, cache information crosses the agent boundary",KV/cache state,training-free cache communication,cache-level access,related-work and systems-boundary comparator,KVCOMM is a high-bandwidth cache communication regime; LatentWire is a low-byte packet protocol with destructive source-private controls.,native baseline if claiming runtime superiority
kv_cache_serving,RelayCaching,https://arxiv.org/abs/2603.13289,decoding-time KV caches for collaborative generation,"no, produced cache state is reused",KV/cache state,serving/runtime method,cache-level access,related-work and systems-boundary comparator,RelayCaching accelerates cache reuse; LatentWire evaluates whether compact source evidence causes target utility without exposing cache/text.,native serving baseline for latency or throughput claims
kv_cache_reuse,CacheGen / LMCache / CacheBlend-style reuse,https://arxiv.org/abs/2310.07240,"compressed, streamed, or blended reusable prompt/cache state","no, cache or prompt-derived state is reused",compressed cache/prompt state,system-dependent,serving cache path,systems-boundary comparator,Cache-reuse systems optimize serving reuse for existing context; LatentWire sends small task-level source evidence packets across model boundaries.,native vLLM/SGLang/LMCache run for throughput claims
activation_communication,Communicating Activations Between Language Model Agents,https://arxiv.org/abs/2501.14082,activation vectors between language-model agents,limited; activation vectors are exposed,dense activations,method-dependent,activation-level access,related-work boundary,"LatentWire emphasizes source-private low-byte packets, explicit packet bytes, and destructive controls rather than generic activation exchange.",cite and distinguish in related-work matrix
activation_communication,CIPHER / Let Models Speak Ciphers,https://arxiv.org/abs/2310.06272,embedding-level messages between debating LLM agents,partial; embedding messages are exposed to peers,embedding vectors or continuous messages,method-dependent,embedding/message interface,related-work boundary,CIPHER pressures broad latent-message novelty; LatentWire's narrower claim is byte-counted source-private packets with destructive controls.,avoid claiming generic embedding communication novelty
latent_translation,Direct Semantic Communication via Vector Translation,https://arxiv.org/abs/2511.03945,translated semantic vectors,partial; dense vectors may expose source state,dense vector communication,translation model,representation-level access,related-work boundary,LatentWire requires low-byte source-private packet accounting and source-choice destructive controls.,verify final citation metadata before camera-ready
latent_translation,InterLat,https://arxiv.org/abs/2511.09149,intermediate latent representations,partial; dense latent state may cross,latent vector state,method-dependent,latent-level access,related-work boundary,"LatentWire claims only packetized, byte-counted, source-private transfer under destructive controls.",verify final citation metadata before camera-ready
