row_id,row_group,method,communicated_object,source_private,raw_bytes,framed_bytes,cacheline_bytes,batch64_bytes,source_text_exposed,source_kv_exposed,source_hidden_or_score_vector_exposed,native_measured,measurement_status,nvidia_vllm_required,claim_allowed,overclaim_guard,source_url,notes
latentwire_arc_challenge_test_12b,LatentWire packet,LatentWire ARC-Challenge test packet,task-level candidate evidence packet,true,12,15,64,960,false,false,false,true,mac_local_artifact,false,source-private byte/exposure accounting with local benchmark accuracy; not a native GPU serving row,Use as a packet byte/exposure row only; native GPU serving speed is still unmeasured.,results/source_private_arc_challenge_seed_stability_20260501_qwen05_hashed_test/arc_challenge_seed_stability.json,accuracy=0.344; headline_eligible=true
latentwire_openbookqa_test_3b,LatentWire packet,LatentWire OpenBookQA test packet,task-level candidate evidence packet,true,3,6,64,384,false,false,false,true,mac_local_artifact,false,source-private byte/exposure accounting with local benchmark accuracy; not a native GPU serving row,Use as a packet byte/exposure row only; native GPU serving speed is still unmeasured.,results/source_private_openbookqa_seed_stability_20260501_qwen05_hashed_test_3b/arc_challenge_seed_stability.json,accuracy=0.378; headline_eligible=true
latentwire_hellaswag_validation1024_2b,LatentWire packet,LatentWire HellaSwag validation_first1024 packet,task-level candidate evidence packet,true,2,5,64,320,false,false,false,true,mac_local_artifact,false,source-private byte/exposure accounting with local benchmark accuracy; not a native GPU serving row,Use as a packet byte/exposure row only; native GPU serving speed is still unmeasured.,results/source_private_hellaswag_seed_stability_20260501_qwen05_hashed_validation1024_2b_5seed/arc_challenge_seed_stability.json,accuracy=0.461; headline_eligible=false
latentwire_hellaswag_full_compact_1b,LatentWire packet,LatentWire HellaSwag validation_full_compaction packet,task-level candidate evidence packet,true,1,4,64,256,false,false,false,true,mac_local_artifact,false,source-private byte/exposure accounting with local benchmark accuracy; not a native GPU serving row,Use as a packet byte/exposure row only; native GPU serving speed is still unmeasured.,results/source_private_hellaswag_minimal_packet_compaction_20260502/hellaswag_minimal_packet_compaction.json,accuracy=0.619; headline_eligible=false
same_byte_text_control_arc,local control,Same-byte structured text control (ARC),text-form control with same packet budget,false,12,15,64,960,true,false,false,true,mac_local_control,false,negative/control row only; cannot support source-private claim,This row intentionally exposes source text and is not a source-private method.,results/source_private_arc_challenge_seed_stability_20260501_qwen05_hashed_test/arc_challenge_seed_stability.json,same-byte text accuracy=0.311
hidden_vector_fp16_floor,state relay floor,One hidden-vector fp16 relay floor,"one source hidden vector, fp16",false,1792,1792,1792,114688,false,false,true,false,byte_floor_from_model_config,false,state-exposure lower bound only; not a baseline win,This row exposes a continuous hidden vector; do not claim it is a LatentWire packet.,local Qwen2.5-0.5B config,hidden_size=896
qjl_1bit_kv_floor,KV/source-state floor,QJL sign-bit KV-state floor,one-token K+V state at 1 bit/element,false,768,768,768,49152,false,true,false,false,optimistic_byte_floor_not_native,true,mathematical state-size lower bound only,"QJL is a KV-cache state sketch comparator, not a defeated native baseline.",https://arxiv.org/abs/2406.03482,QJL uses a JL transform and sign-bit quantization for KV-cache compression.
kivi_2bit_kv_floor,KV/source-state floor,KIVI 2-bit KV floor,one-token K+V state at 2 bits/element,false,1536,1536,1536,98304,false,true,false,false,byte_floor_not_native,true,KV-cache compression comparator only,KIVI compresses KV cache state and still requires native quality/throughput comparison.,https://arxiv.org/abs/2402.02750,KIVI is a tuning-free asymmetric 2-bit KV-cache quantization method.
q_kvcomm_6x_floor,KV communication floor,Q-KVComm optimistic 6x floor,compressed source KV cache representation,false,2048,2048,2048,131072,false,true,false,false,ratio_floor_not_native,true,compressed-KV communication boundary only,Q-KVComm transmits compressed KV-derived state; do not claim this is a source-private packet.,https://arxiv.org/abs/2512.17914,Q-KVComm transmits compressed KV cache representations with reported 5-6x compression.
kvquant_3bit_kv_floor,KV/source-state floor,KVQuant 3-bit proxy floor,one-token K+V state at 3 bits/element,false,2304,2304,2304,147456,false,true,false,false,proxy_byte_floor_not_native,true,sub-4-bit KV comparator only,KVQuant is a KV-cache quantization comparator; do not claim it is a packet baseline.,https://arxiv.org/abs/2401.18079,KVQuant targets accurate sub-4-bit KV-cache quantization.
