row_class,method,native_problem,communicated_object,artifact,surface,source_private,private_payload_bytes,rate_unit,public_side_info,receiver_side_info,source_destroying_controls,same_model_required,cross_model_supported,training_or_calibration,source_text_exposed,source_kv_exposed,accuracy,target_accuracy,delta_vs_target,best_control_accuracy,delta_vs_best_control,paired_ci95_low,valid_rate,prompt_token_delta,kv_byte_floor,latency_metric_scope,ttft_ms,p50_ttft_delta_vs_packet_ms,tpot_ms,throughput_qps,peak_memory_gb,byte_ratio_vs_packet,native_claim,claim_allowed,paper_use,overclaim_guard,caveat
endpoint_packet,LatentWire endpoint packet,source-private endpoint communication,diagnostic atom packet,results/source_private_systems_caveat_frontier_20260429/systems_caveat_frontier.json,core n160 label_strict,True,2,payload_bytes,candidate set + receiver prompt contract,candidate set + receiver prompt contract,passed,False,True,receiver prompt contract,False,False,0.675,0.25,0.425,0.25,0.425,0.35,1,,,mac_cpu_endpoint_proxy,471.636,0,,,,1,Mac-local endpoint proxy source-private task evidence,headline_endpoint_proxy,endpoint systems positive,Do not claim production GPU serving throughput from this row.,Local CPU proxy; not production serving throughput.
endpoint_text_relay,query-aware diagnostic text,visible private text relay,private diagnostic text,results/source_private_systems_caveat_frontier_20260429/systems_caveat_frontier.json,core n160 label_strict,False,14,payload_bytes,candidate set + receiver prompt contract,candidate set + receiver prompt contract,not_applicable,False,True,none,True,False,,0.25,,,,,,,,not_measured,,,,,,7,higher-rate text relay,text_rate_comparator,prompt/text compression frontier,Do not call higher-byte text failure when it catches up.,Text exposes private diagnostic content; rate is higher than packet.
endpoint_text_relay,full hidden-log relay,visible private text relay,private diagnostic text,results/source_private_systems_caveat_frontier_20260429/systems_caveat_frontier.json,core n160 label_strict,False,366.5,payload_bytes,candidate set + receiver prompt contract,candidate set + receiver prompt contract,not_applicable,False,True,none,True,False,,0.25,,,,,,,,mac_cpu_endpoint_proxy,635.909,164.273,,,,183.25,visible text oracle relay,text_rate_comparator,upper text relay / TTFT contrast,Do not call higher-byte text failure when it catches up.,Not source-private; reports local CPU proxy TTFT delta.
endpoint_packet,LatentWire endpoint packet,source-private endpoint communication,diagnostic atom packet,results/source_private_systems_caveat_frontier_20260429/systems_caveat_frontier.json,holdout n160 label_strict,True,2,payload_bytes,candidate set + receiver prompt contract,candidate set + receiver prompt contract,passed,False,True,receiver prompt contract,False,False,0.6875,0.25,0.4375,0.25,0.4375,0.35,1,,,mac_cpu_endpoint_proxy,547.21,0,,,,1,Mac-local endpoint proxy source-private task evidence,headline_endpoint_proxy,endpoint systems positive,Do not claim production GPU serving throughput from this row.,Local CPU proxy; not production serving throughput.
endpoint_text_relay,query-aware diagnostic text,visible private text relay,private diagnostic text,results/source_private_systems_caveat_frontier_20260429/systems_caveat_frontier.json,holdout n160 label_strict,False,14,payload_bytes,candidate set + receiver prompt contract,candidate set + receiver prompt contract,not_applicable,False,True,none,True,False,,0.25,,,,,,,,not_measured,,,,,,7,higher-rate text relay,text_rate_comparator,prompt/text compression frontier,Do not call higher-byte text failure when it catches up.,Text exposes private diagnostic content; rate is higher than packet.
endpoint_text_relay,full hidden-log relay,visible private text relay,private diagnostic text,results/source_private_systems_caveat_frontier_20260429/systems_caveat_frontier.json,holdout n160 label_strict,False,373.5,payload_bytes,candidate set + receiver prompt contract,candidate set + receiver prompt contract,not_applicable,False,True,none,True,False,,0.25,,,,,,,,mac_cpu_endpoint_proxy,730.755,183.545,,,,186.75,visible text oracle relay,text_rate_comparator,upper text relay / TTFT contrast,Do not call higher-byte text failure when it catches up.,Not source-private; reports local CPU proxy TTFT delta.
contract_failure,LatentWire packet with under-specified receiver,receiver-contract stress,diagnostic atom packet,results/source_private_systems_caveat_frontier_20260429/systems_caveat_frontier.json,core n16 terse,True,2,payload_bytes,candidate set + weak receiver prompt,candidate set + weak receiver prompt,not_applicable,False,True,weak receiver prompt contract,False,False,0.25,0.25,0,0.25,0,,1,,,mac_cpu_endpoint_proxy,643.718,0,,,,1,negative prompt-contract ablation,failure_boundary,required public side-info boundary,Do not hide that the public receiver contract is required.,Shows receiver contract is part of the method.
semantic_anchor_medium,semantic-anchor source-private packet,source-private held-out paraphrase communication,semantic-anchor atom packet,results/source_private_semantic_anchor_heldout_medium_confirmation_20260430/summary.json,heldout paraphrase n512 x 3 seeds,True,4,payload_bytes,candidate set + public semantic-anchor receiver,candidate set + public semantic-anchor receiver,passed,False,True,public semantic-anchor lexicon + ridge dictionary,False,False,,0.25,,0.25,,0.457031,,,,not_measured,,,,,,1,medium seed-stable held-out paraphrase source-private communication,headline_method_medium,method-depth systems row,Do not claim prompt-contract-free or activation-level latent transfer from this row.,"All 9/9 rows pass; accuracy varies by direction, so aggregate row reports margins rather than one accuracy."
semantic_anchor_medium,semantic-anchor source-private packet,source-private held-out paraphrase communication,semantic-anchor atom packet,results/source_private_semantic_anchor_heldout_medium_confirmation_20260430/summary.json,heldout paraphrase n512 x 3 seeds,True,8,payload_bytes,candidate set + public semantic-anchor receiver,candidate set + public semantic-anchor receiver,passed,False,True,public semantic-anchor lexicon + ridge dictionary,False,False,,0.25,,0.253906,,0.457031,,,,not_measured,,,,,,1,medium seed-stable held-out paraphrase source-private communication,headline_method_medium,method-depth systems row,Do not claim prompt-contract-free or activation-level latent transfer from this row.,"All 9/9 rows pass; accuracy varies by direction, so aggregate row reports margins rather than one accuracy."
rate_frontier_text,same-byte structured text,visible private text relay,private diagnostic text,results/source_private_rate_frontier_20260429/rate_frontier.json,core+holdout rate frontier,False,2,payload_bytes,candidate set + text decoder,candidate set + text decoder,not_applicable,False,True,none,True,False,0.25,0.25,0,,,,,,,not_measured,,,,,,1,same-byte visible text control,text_rate_comparator,text baseline,Do not call higher-byte text failure when it catches up.,Fails at packet byte rate on frozen rate-frontier surfaces.
rate_frontier_text,query-aware structured text oracle,visible private text relay,private diagnostic text,results/source_private_rate_frontier_20260429/rate_frontier.json,core+holdout rate frontier,False,14,payload_bytes,candidate set + text decoder,candidate set + text decoder,not_applicable,False,True,none,True,False,1,0.25,0.75,,,,,,,not_measured,,,,,,7,higher-rate visible text oracle,text_rate_comparator,honest text catches-up row,Do not call higher-byte text failure when it catches up.,Shows structured text can catch up when given more bytes and private text exposure.
