section,branch,status,score,baseline,delta,ci95_low,record_bytes,artifact,decision,evidence
iclr_blocker,Conditional PQ public-zscore held-out-family decoder,ruled_out_as_cross_family_rescue,0.453125,0.441406,0.011719,-0.085938,7,conditional_public_zscore,Do not widen public-zscore to n500/remap.,0/2 pass; best source-minus-control 0.011719 against label_shuffled_encoder.
iclr_blocker,Conditional PQ public-SVD whitening held-out-family decoder,ruled_out_as_cross_family_rescue,0.375,0.613281,-0.238281,-0.32041,7,conditional_public_svd,Do not continue deterministic public-basis whitening as the rescue path.,0/2 pass; best source-minus-control -0.238281 against permuted_codes. Worst row -0.500000.
iclr_blocker,Conditional PQ corruption-to-noop receiver,ruled_out_as_cross_family_rescue,0.25,0.25,0,0,7,conditional_corruption_noop,Keep as diagnostic; do not promote this receiver family.,0/6 pass; best source-minus-control 0.000000 against label_shuffled_encoder.
iclr_blocker,Conditional PQ scalar integrity threshold,ruled_out_simple_integrity_threshold,0.425781,0.457031,-0.03125,-0.097656,7,conditional_pq_integrity_threshold,Do not continue scalar threshold integrity on this public-zscore conditional-PQ receiver.,Selected negative_min_l2 threshold; source 0.425781 vs best control label_shuffled_encoder at 0.457031; source/max-corrupt accept 0.773438/1.000000.
iclr_blocker,ARC sparse resonance PCA/target-aligned soft-prefix packets,ruled_out_current_basis_receiver,0.25,0.625,-0.375,,,arc_sparse_resonance,Do not widen plain PCA/target-aligned soft-prefix packets.,0/4 pass; best matched-minus-control -0.375000 with best control source_free_prefix.
iclr_blocker,ARC behavior-supervised atom SRP decoder,ruled_out_current_behavior_atom_basis,0.4375,0.4375,0,-0.3125,7,arc_behavior_atom_decoder,"Keep the strict atom harness, but do not scale the current behavior/PCA/BatchTopK-style atom basis without a new source-causality mechanism.","0/5 pass; best matched 0.437500 vs required control top_atom_knockout at 0.437500; fired 8 rows, helps/harms 3/0."
iclr_blocker,OpenBookQA train-only packet+target receiver,weakened_openbookqa_source_choice_control,0.424,0.422,0.002,0.00795,3,openbookqa_receiver_headroom,"Do not promote as a positive second-benchmark row; the same-source-choice wrong-row control nearly matches the receiver, so it is a source-choice artifact diagnostic.",Held-out test n=500; receiver candidate pass False; default receiver 0.424000 vs best baseline/control 0.422000; aggregate seed-row CI low 0.000400; strict per-seed CI 2/5.
iclr_blocker,HellaSwag protected top-2/rival packet,ruled_out_shallow_pair_decoder,0.46224,0.467448,-0.005208,-0.013021,5,hellaswag_protected_rival,Do not rerun generic protected top-2/rival switchers.,"Oracle 0.678385, selected decoder harms 6 vs helps 2."
iclr_blocker,HellaSwag official-train receiver-calibrated selector,weakened_near_miss,0.466146,0.467448,-0.001302,-0.007812,5,hellaswag_official_receiver,Do not continue shallow linear score-feature selectors without new evidence.,Oracle 0.766927; eval-label diagnostic delta is only 0.002604.
iclr_blocker,HellaSwag harm-controlled complementarity buckets,ruled_out_no_safe_bucket,0.467448,0.467448,0,0,6,hellaswag_harm_bucket,Low-harm bucket receiver is saturated.,Selected scheme no_op with 0 eligible buckets and 0 overrides.
iclr_blocker,HellaSwag top1/top2 ambiguity buckets,ruled_out_no_safe_bucket,0.467448,0.467448,0,0,4,hellaswag_top2_bucket,Do not continue rank/score-bin top2 buckets without a new packet field.,"Source top1/top2 oracle 0.675781, but selected bucket overrides 0 rows."
iclr_blocker,HellaSwag denoising syndrome packet,ruled_out_shallow_syndrome_decoder,0.463542,0.467448,-0.003906,-0.010417,4,hellaswag_denoising_syndrome,Do not promote ridge-denoising syndrome decoder.,Target/hybrid oracle 0.604167; denoising helps 2 and harms 5.
iclr_blocker,HellaSwag sparse/common-basis top2 ambiguity code,weakened_common_basis_atom,0.500977,0.501953,-0.000977,-0.00293,4,hellaswag_sparse_common_basis,Do not claim sparse atom causality from this branch.,Best destructive control target_derived_source_pair_ambiguity_control at 0.501953; atom code helps 0 and harms 1.
iclr_blocker,Target self-resonance oracle soft-prefix capacity,capacity_alive_not_source_private_method,0.9375,0.625,0.3125,,,target_self_oracle_soft_prefix,Use only as capacity/headroom evidence; it optimizes on eval rows.,3/3 tiny oracle rows pass; best optimized agreement 0.937500 beats shuffled_optimized_prefix at 0.625000.
iclr_blocker,Target self-resonance held-out learned prefix encoders,ruled_out_current_target_native_encoder_family,0.6875,0.6875,0,,,target_self_learned_encoders,Do not run more chunk/distill/query-resampler variants without a new information path.,1/5 pass; best agreement delta 0.000000 against slots_only_encoder; worst agreement delta -0.125000.
iclr_blocker,Source-conditioned target-native resonance receivers,ruled_out_current_source_conditioned_receiver_family,0.375,0.375,0,,,target_self_source_conditioned_receivers,Diagnose complementarity/gating before implementing another source-to-prefix decoder.,0/5 pass; best accuracy delta 0.000000 against zero_source_hidden; source top1/top2 oracle reaches 1.000000.
iclr_blocker,HellaSwag complementarity-frontier selector diagnostic,headroom_alive_selector_blocked,0.467448,0.467448,0,0,4,hellaswag_complementarity_frontier,Do not train another HellaSwag selector on the same packet fields; require a new information path.,"Fixed+source top1/top2 oracle 0.694010; source top1/top2 covers 174 fixed-hybrid errors, but selected frontier makes 0 overrides."
iclr_blocker,HellaSwag multi-signal source packet frontier,ruled_out_cached_policy_packet,0.455729,0.467448,-0.011719,-0.02347,5,hellaswag_multisignal_packet_frontier,Do not continue cached Qwen policy-prediction packets on this HellaSwag slice.,Selector accuracy 0.455729 vs fixed 0.467448; overrides 30 rows; best destructive control field_shuffle_multisignal_control at 0.430990.
