row_group,method,surface,artifact,n,remaps,budget_bytes,record_bytes,batch64_line_bytes_per_request,communicated_object,receiver_compute,source_private,source_text_exposed,source_kv_exposed,decoder_side_info,accuracy_min,accuracy_max,target_accuracy,best_control_accuracy_max,delta_vs_target_min,delta_vs_best_control_min,controls_ok_all,pass_rule_result,cached_decode_p50_ms_max,cached_decode_p95_ms_max,request_public_decode_p50_ms_max,source_encode_p50_ms_max,verifier_p50_ms_max,unique_payloads_min,unique_payloads_max,collision_subset_accuracy_min,public_mean_lift_removed_min,top_worst_lift_removed_min,text_byte_ratio_vs_packet_min,kv_byte_ratio_vs_packet_min,paper_use,caveat
pq_geometry_method,canonical 4-byte product-codebook packet,n500 remaps 101/103/107 slot candidate view,results/source_private_product_codebook_geometry_knockout_stress_n500_20260430/product_codebook_geometry_knockout_stress.json,500,"101,103,107",4,5,,source-private residual codeword packet,table_distance_decode,true,false,false,true,0.482,0.52,0.25,0.268,0.232,0.214,true,pass_source_controls_lookup_risk,0.0211875,0.023209,0.369437,0.311563,,498,500,0.5,0.103448,1.91111,,,baseline compression-native PQ packet,near-unique payloads; geometry mitigation needed for lookup-risk objection
pq_geometry_method,protected Hadamard product-codebook packet,n500 remaps 101/103/107 slot candidate view,results/source_private_product_codebook_geometry_knockout_stress_n500_20260430/product_codebook_geometry_knockout_stress.json,500,"101,103,107",4,5,,source-private residual codeword packet,sign_permutation_hadamard_plus_table_decode,true,false,false,true,0.498,0.514,0.25,0.268,0.248,0.23,true,pass_mitigation,,,,,,404,425,0.457364,0.104839,1.31298,,,hardware-friendly geometry mitigation,cached decode for this rotated variant is not separately timed in this artifact
pq_geometry_method,utility-OPQ product-codebook packet,n500 remaps 101/103/107 slot candidate view,results/source_private_product_codebook_geometry_knockout_stress_n500_20260430/product_codebook_geometry_knockout_stress.json,500,"101,103,107",4,5,,source-private residual codeword packet,dense_opq_rotation_plus_table_decode,true,false,false,true,0.48,0.514,0.25,0.268,0.23,0.212,true,pass_mitigation,,,,,,499,500,0.5,1.48485,1.94697,,,public-mean-sensitive geometry mitigation,does not reduce payload uniqueness; dense rotation is less hardware friendly
pq_geometry_method,utility-protected Hadamard product-codebook packet,n500 remaps 101/103/107 slot candidate view,results/source_private_product_codebook_geometry_knockout_stress_n500_20260430/product_codebook_geometry_knockout_stress.json,500,"101,103,107",4,5,,source-private residual codeword packet,utility_grouping_sign_permutation_hadamard_plus_table_decode,true,false,false,true,0.504,0.516,0.25,0.268,0.254,0.236,true,pass_mitigation,,,,,,386,405,0.493902,0.0629921,1.08661,,,strongest lookup-risk mitigation row,cached decode for this rotated variant is not separately timed in this artifact
source_coding_baseline,scalar Wyner-Ziv residual packet,n500 remaps 101/103/107 slot candidate view,results/source_private_product_codebook_packet_gate_n500_20260430/product_codebook_packet_gate.json,500,"101,103,107",4,5,,source-private scalar residual packet,scalar_projection_decode,true,false,false,true,0.424,0.504,0.25,0.268,0.174,0.156,true,source_coding_comparator,,,,,,,,,,,,,direct learned residual-code comparator,slightly lower accuracy than PQ on at least one remap; useful as scalar syndrome baseline
model_mediated_receiver,frozen Qwen3 binary-verifier packet,seed31 core+holdout n160 combined controls,results/source_private_verifier_consumption_trace_20260430/qwen3_seed31_core_holdout_n160_binary_logprob_combined_cpu/verifier_consumption_trace.json,160,,2,5,6,source-private diagnostic packet,four frozen binary logprob forwards per example,true,false,false,true,1,1,0.25,0.25,0.75,0.75,true,pass_model_mediated_controls,,,,,1674.07,,,,,,,,model-mediated consumption evidence,Mac CPU timing is not production serving telemetry
endpoint_text_relay,query-aware diagnostic text,core n160 label_strict,results/source_private_systems_rate_assumption_frontier_20260430/systems_rate_assumption_frontier.json,,,14,,,private diagnostic text,not_measured,false,true,false,true,,,0.25,,,,,text_rate_comparator,,,,,,,,,,,7,,prompt/text compression frontier,Text exposes private diagnostic content; rate is higher than packet.
endpoint_text_relay,full hidden-log relay,core n160 label_strict,results/source_private_systems_rate_assumption_frontier_20260430/systems_rate_assumption_frontier.json,,,366.5,,,private diagnostic text,mac_cpu_endpoint_proxy,false,true,false,true,,,0.25,,,,,text_rate_comparator,,,,,635.909,,,,,,183.25,,upper text relay / TTFT contrast,Not source-private; reports local CPU proxy TTFT delta.
endpoint_text_relay,query-aware diagnostic text,holdout n160 label_strict,results/source_private_systems_rate_assumption_frontier_20260430/systems_rate_assumption_frontier.json,,,14,,,private diagnostic text,not_measured,false,true,false,true,,,0.25,,,,,text_rate_comparator,,,,,,,,,,,7,,prompt/text compression frontier,Text exposes private diagnostic content; rate is higher than packet.
endpoint_text_relay,full hidden-log relay,holdout n160 label_strict,results/source_private_systems_rate_assumption_frontier_20260430/systems_rate_assumption_frontier.json,,,373.5,,,private diagnostic text,mac_cpu_endpoint_proxy,false,true,false,true,,,0.25,,,,,text_rate_comparator,,,,,730.755,,,,,,186.75,,upper text relay / TTFT contrast,Not source-private; reports local CPU proxy TTFT delta.
rate_frontier_text,same-byte structured text,core+holdout rate frontier,results/source_private_systems_rate_assumption_frontier_20260430/systems_rate_assumption_frontier.json,,,2,,,private diagnostic text,not_measured,false,true,false,true,0.25,0.25,0.25,,0,,,text_rate_comparator,,,,,,,,,,,1,,text baseline,Fails at packet byte rate on frozen rate-frontier surfaces.
rate_frontier_text,query-aware structured text oracle,core+holdout rate frontier,results/source_private_systems_rate_assumption_frontier_20260430/systems_rate_assumption_frontier.json,,,14,,,private diagnostic text,not_measured,false,true,false,true,1,1,0.25,,0.75,,,text_rate_comparator,,,,,,,,,,,7,,honest text catches-up row,Shows structured text can catch up when given more bytes and private text exposure.
