row_group,method,communicated_object,raw_bytes,framed_bytes,cacheline_bytes,batch64_bytes,source_private,source_text_exposed,source_hidden_or_score_vector_exposed,source_kv_exposed,source_packet_cached,source_scoring_included,native_measured,native_claim_allowed,measurement_status,claim_allowed,overclaim_guard,source_url
LatentWire packet,LatentWire ARC-Challenge test packet (cached source),cached-source task-level candidate evidence packet,8,11,64,704,true,false,false,false,true,false,false,false,cached_source_communication_object,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json
LatentWire packet,LatentWire ARC-Challenge test packet (source scoring disclosed),same packet with source scoring disclosed separately,8,11,64,704,true,false,false,false,false,true,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json
LatentWire packet,LatentWire OpenBookQA test packet (cached source),cached-source task-level candidate evidence packet,3,6,64,384,true,false,false,false,true,false,false,false,cached_source_communication_object,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_openbookqa_seed_stability_20260501_qwen05_hashed_test_3b/arc_challenge_seed_stability.json
LatentWire packet,LatentWire OpenBookQA test packet (source scoring disclosed),same packet with source scoring disclosed separately,3,6,64,384,true,false,false,false,false,true,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_openbookqa_seed_stability_20260501_qwen05_hashed_test_3b/arc_challenge_seed_stability.json
LatentWire packet,LatentWire HellaSwag validation_first1024 packet (cached source),cached-source task-level candidate evidence packet,2,5,64,320,true,false,false,false,true,false,false,false,cached_source_communication_object,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_hellaswag_seed_stability_20260501_qwen05_hashed_validation1024_2b_5seed/arc_challenge_seed_stability.json
LatentWire packet,LatentWire HellaSwag validation_first1024 packet (source scoring disclosed),same packet with source scoring disclosed separately,2,5,64,320,true,false,false,false,false,true,false,false,mac_local_end_to_end_source_scoring_disclosed,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_hellaswag_seed_stability_20260501_qwen05_hashed_validation1024_2b_5seed/arc_challenge_seed_stability.json
LatentWire packet,LatentWire HellaSwag validation_full_compaction packet (cached source),cached-source task-level candidate evidence packet,1,4,64,256,true,false,false,false,true,false,false,false,cached_source_communication_object,source-private packet byte/exposure accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row.",results/source_private_hellaswag_minimal_packet_compaction_20260502/hellaswag_minimal_packet_compaction.json
LatentWire packet,LatentWire HellaSwag validation_full_compaction packet (source scoring disclosed),same packet with source scoring disclosed separately,1,4,64,256,true,false,false,false,false,true,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,source-private packet byte/exposure accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims.",results/source_private_hellaswag_minimal_packet_compaction_20260502/hellaswag_minimal_packet_compaction.json
local control,Same-byte structured text control (ARC),text-form control with same packet budget,8,11,64,704,false,true,false,false,false,false,true,false,mac_local_control,negative/control row only; cannot support source-private claim,This row intentionally exposes source text and is not a source-private method.,results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json
state relay floor,Four-choice fp16 score-vector relay floor,"source score vector, fp16",8,8,64,512,false,false,true,false,false,false,false,false,score_vector_floor_not_source_private,source-state exposure floor only; not a source-private packet,This row exposes a source score vector; do not claim it is a LatentWire packet.,results/source_private_arc_challenge_fourier_anchor_syndrome_gate_20260502_budget8_10seed_b2000/arc_challenge_fourier_anchor_syndrome_gate.json
