method,communicated_object,raw_bytes,framed_bytes,cacheline_bytes,batch64_bytes,source_private,source_kv_exposed,native_measured,measurement_status,measured_vs_estimated,claim_allowed,overclaim_guard
LatentWire ARC-Challenge test packet (cached source),cached-source task-level candidate evidence packet,8,11,64,704,true,false,false,cached_source_communication_object,measured_packet_object_bytes,content/state exposure and packet-byte accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row."
LatentWire ARC-Challenge test packet (source scoring disclosed),same packet with source scoring disclosed separately,8,11,64,704,true,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,local_partial_measurement_or_missing_phase_trace,content/state exposure and packet-byte accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims."
LatentWire OpenBookQA test packet (cached source),cached-source task-level candidate evidence packet,3,6,64,384,true,false,false,cached_source_communication_object,measured_packet_object_bytes,content/state exposure and packet-byte accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row."
LatentWire OpenBookQA test packet (source scoring disclosed),same packet with source scoring disclosed separately,3,6,64,384,true,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,local_partial_measurement_or_missing_phase_trace,content/state exposure and packet-byte accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims."
LatentWire HellaSwag validation_first1024 packet (cached source),cached-source task-level candidate evidence packet,2,5,64,320,true,false,false,cached_source_communication_object,measured_packet_object_bytes,content/state exposure and packet-byte accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row."
LatentWire HellaSwag validation_first1024 packet (source scoring disclosed),same packet with source scoring disclosed separately,2,5,64,320,true,false,false,mac_local_end_to_end_source_scoring_disclosed,local_partial_measurement_or_missing_phase_trace,content/state exposure and packet-byte accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims."
LatentWire HellaSwag validation_full_compaction packet (cached source),cached-source task-level candidate evidence packet,1,4,64,256,true,false,false,cached_source_communication_object,measured_packet_object_bytes,content/state exposure and packet-byte accounting only; source scoring excluded,"This row is the object that crosses the interface, not an end-to-end source-scoring or native serving latency row."
LatentWire HellaSwag validation_full_compaction packet (source scoring disclosed),same packet with source scoring disclosed separately,1,4,64,256,true,false,false,mac_local_end_to_end_source_scoring_missing_phase_trace,local_partial_measurement_or_missing_phase_trace,content/state exposure and packet-byte accounting with source scoring timing disclosed; not a native GPU serving row,"Do not merge this row with the cached-source object row when making TTFT, TPOT, HBM, goodput, or native baseline claims."
Same-byte structured text control (ARC),text-form control with same packet budget,8,11,64,704,false,false,true,mac_local_control,measured_local_control_or_accounting_row,negative/control row only; cannot support content/state exposure claim,This row intentionally exposes source text and is not a content-private packet method.
Four-choice fp16 score-vector relay floor,"source score vector, fp16",8,8,64,512,false,false,false,score_vector_floor_not_source_private,analytical_or_literature_byte_floor,source-state exposure floor only; not a content-private packet,This row exposes a source score vector; do not claim it is a LatentWire packet.
Four-choice fp16 logit-vector relay floor,"source logit vector, fp16",8,8,64,512,false,false,false,logit_vector_floor_not_source_private,analytical_or_literature_byte_floor,source-state exposure floor only; not a content-private packet,This row exposes a source logit vector; do not claim it is a LatentWire packet.
One hidden-vector fp16 relay floor,"one source hidden vector, fp16",1792,1792,1792,114688,false,false,false,byte_floor_from_model_config,analytical_or_literature_byte_floor,state-exposure lower bound only; not a baseline win,This row exposes a continuous hidden vector; do not claim it is a LatentWire packet.
1-bit/KV-element accounting floor,one-token K+V state at 1 bit/element,768,768,768,49152,false,true,false,optimistic_byte_floor_not_native,analytical_or_literature_byte_floor,mathematical state-size lower bound only,This is an internal one-bit-per-KV-element accounting floor; do not treat it as a defeated QJL native baseline.
KIVI 2-bit KV floor,one-token K+V state at 2 bits/element,1536,1536,1536,98304,false,true,false,byte_floor_not_native,analytical_or_literature_byte_floor,KV-cache compression comparator only,KIVI compresses KV cache state and still requires native quality/throughput comparison.
Q-KVComm optimistic 6x floor,compressed source KV cache representation,2048,2048,2048,131072,false,true,false,ratio_floor_not_native,analytical_or_literature_byte_floor,compressed-KV communication boundary only,Q-KVComm transmits compressed KV-derived state; do not claim this is a content-private packet.
KVQuant 3-bit proxy floor,one-token K+V state at 3 bits/element,2304,2304,2304,147456,false,true,false,proxy_byte_floor_not_native,analytical_or_literature_byte_floor,sub-4-bit KV comparator only,KVQuant is a KV-cache quantization comparator; do not claim it is a packet baseline.
TurboQuant 3.5-bit KV floor,one-token K+V state at 3.5 bits/element,2688,2688,2688,172032,false,true,false,byte_floor_not_native,analytical_or_literature_byte_floor,KV/vector quantization comparator only,TurboQuant is a vector/KV quantizer; byte floors alone do not compare native latency.
KVComm 30% fp16 KV floor,"selected source KV layers, fp16",3686.4,3686.4,3712,235930,false,true,false,30pct_layer_floor_not_native,analytical_or_literature_byte_floor,selective-KV communication boundary only,KVComm shares selected KV pairs; this is only a native-pending 30%-layer byte floor.
C2C one-token fp16 KV floor,projected/fused source KV cache,12288,12288,12288,786432,false,true,false,one_token_floor_not_native,analytical_or_literature_byte_floor,closest cache-transfer baseline; native run still required,C2C fuses source KV cache; do not claim superiority without native C2C.
KVCOMM cross-context fp16 KV floor,aligned/reused source KV cache,12288,12288,12288,786432,false,true,false,one_token_floor_not_native,analytical_or_literature_byte_floor,systems neighbor only; native run still required,KVCOMM is a cross-context KV reuse system; this row is only a native-pending byte floor.
