experiment_id,model,method,status,median_recovery,ci_low,ci_high,no_gap_fraction,n_traces,n_positive_gap_traces,key_comparison,decision_reason,source_files
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,strict set-leaving,PASS,,,,,24,,,"The diagnostic worked: all measured model families show large channel-set movement, which motivates dynamic or regime-aware protection.",experimental/outlier_migrate/phase1/results/om_phase1_20260508T014959Z;experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z;experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z;experimental/outlier_migrate/phase9/results/om_v2_m11b_deepseek_20260527T1210Z
01_static_top1_static_union,Granite,static protection,KILL,,,,,24,,,Static protection is not enough under drift; union/static controls either saturate budget or recover inconsistently.,experimental/outlier_migrate/phase3/results/om_phase3_20260509T212000Z;experimental/outlier_migrate/phase4/results/om_phase4_20260511T054000Z
02_m2_position_switching,Granite,M2,KILL,,,,,24,,,Hard discontinuities lost to random controls; switching boundaries appear more harmful than stale static sets.,experimental/outlier_migrate/phase9/results/om_phase9_m2_granite_small_vac12_finalized_20260514T233800Z
03_m10_position_bins,Granite,M10,KILL,,,,,24,,,Coarse bins still induced boundary artifacts and did not beat matched controls.,experimental/outlier_migrate/phase9/results/om_phase9_m10_granite_small_vac12_20260515T085800Z
04_m11_ema_top1,Granite,M11,KILL,,,,,12,,,"Directionally less discontinuous, but the 1% budget cannot cover the union of drifting important channels.",experimental/outlier_migrate/phase9/results/om_phase9_m11_granite_small_vac12_20260516T010728Z
05_m11b_granite,Granite,M11b,AMBIG,0.4492840911245966,-1.3009000187907436,1.00079062654749,0.3333333333333333,12,8,m11b_top5,Top-5 median is positive but CI is wide; no-gap traces and trace heterogeneity limit confidence.,experimental/outlier_migrate/phase9/results/om_phase9_m11b_granite_small_vac12_reuse_20260518T030300Z
06_m11b_nemotron,Nemotron,M11b,PASS,0.8147397989034302,0.2544392881776635,0.9225522648803115,0.16666666666666666,12,10,m11b_top10,"Top-10 has strong positive recovery and beats static top-10, supporting a Nemotron-specific positive regime.",experimental/outlier_migrate/phase9/results/om_phase9_m11b_nemotron_static1pct_salvage_20260524T2130Z
07_m11b_deepseek,DeepSeek,M11b,AMBIG,0.3353894408225412,-0.40909502923795116,0.4937768399763942,0.08333333333333333,12,11,m11b_top10,Top-10 median is positive but CI crosses negative and static top-10 is competitive.,experimental/outlier_migrate/phase9/results/om_v2_m11b_deepseek_20260527T1210Z
08_m11b_falcon,Falcon-H1,M11b,KILL,0.04393973019116826,-0.14405060541685555,0.203397616132395,0.0,12,12,m11b_top10,Median recovery is near zero; Falcon appears to resist simple EMA channel protection.,experimental/outlier_migrate/phase9/results/om_v2_m11b_falcon_20260527T1438Z
09_paroquant_granite,Granite,ParoQuant,PASS,0.7537768488911776,0.4770444524050311,1.003769554323054,0.3333333333333333,12,8,paroquant_w4a16,High median recovery with positive CI; supports the regime-aware claim that Granite prefers rotation.,experimental/outlier_migrate/phase9/results/om_paroquant_granite_small_20260520T1555Z
10_v1_paroquant_nemotron,Nemotron,ParoQuant,RUNNING,,,,,,,,Still running; final comparison to M11b top-10 not available in this pack.,experimental/outlier_migrate/phase9/results/om_v1_paroquant_nemotron_20260528T0318Z
11_e3_paroquant_plus_m11b,Granite,ParoQuant+M11b,KILL,0.5645482174486074,0.002901803049757512,0.9993241656016156,0.3333333333333333,12,8,paroquant_m11b_top10,"Sub-additive; random matched composition was stronger, indicating overlap or interference.",experimental/outlier_migrate/phase9/results/om_stage1_e3_granite_20260526T034442Z
12_m18_activation_k,Granite,M18,KILL,-0.34359084412632024,-14.071191710978855,0.7406021242797479,0.3333333333333333,12,8,m18_activation_k,Negative recovery; extra coupling appears to inject instability rather than useful selectivity.,experimental/outlier_migrate/phase9/results/om_phase9_m18_granite_small_vac12_20260516T193500Z
13_m26_stable_core,Granite,M26,AMBIG,0.17761580764776214,-0.11644855808986154,0.9999159313236907,0.3333333333333333,12,8,m26_core,Positive but small/wide signal; stable channels alone do not solve drift.,experimental/outlier_migrate/phase9/results/om_phase9_m26_granite_small_vac12_20260518T203000Z
14_decdec_proxy,Granite,DecDEC proxy,KILL,-0.07003478125820645,-8.495693501232758,0.6741763703501289,0.3333333333333333,12,8,decdec_reactive_top1_proxy,Near-zero/negative recovery; short-horizon dynamic selection does not directly solve long-decode protection.,experimental/outlier_migrate/phase9/results/om_phase9_decdec_granite_small_vac12_20260517T141500Z
15_kl_fft_diagnostics,Granite/DeepSeek/Falcon,KL+FFT,PASS,,,,,,,,Sublinear/sqrt-like KL and broadband FFT weaken the compounding-error and simple-predictor stories.,experimental/outlier_migrate/phase9/results/om_phase9_kl_granite_small_dense_20260519T085400Z;experimental/outlier_migrate/phase9/results/om_stage1_e1_deepseek_falcon_20260526T2335Z
16_e2_cross_prompt,Granite/DeepSeek/Falcon,cross-prompt drift,PASS,,,,,,,,"Enough replication to keep the drift story from being AIME-only, with honest narrowed scope.",experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z
17_mpred,Granite/DeepSeek/Falcon,M-PRED,KILL,-7.745988954781958,-389.68558469514204,0.31916885076647755,0.3333333333333333,12,8,mpred_top10_alpha_0_95,Broadband drift defeats simple prediction; predictor chased noise and underperformed EMA.,experimental/outlier_migrate/phase9/results/om_phase9_mpred_granite_reduced_20260527T201251Z;experimental/outlier_migrate/phase9/results/om_phase9_mpred_deepseek_extension_20260528T005045Z;experimental/outlier_migrate/phase9/results/om_phase9_mpred_falcon_extension_20260528T011658Z
18_wjac_prefilter,all cached slices,WJAC,KILL,,,,,,,,Corrected two-of-four kill diagnostics triggered on every covered model/slice.,artifacts/wjac_prefilter/decision.json;artifacts/wjac_prefilter/report.md;artifacts/wjac_prefilter/wjac_scores.parquet
19_lambda_prefilter,DeepSeek/Falcon,LAMBDA,SMOKE_ONLY,,,,,,,,"Heterogeneity is sufficient to authorize smoke, but not evidence yet.",artifacts/funnel_prefilters/decision.json;artifacts/funnel_prefilters/report.md;artifacts/funnel_prefilters/smoke_traces.json
20_hyst_prefilter,DeepSeek/Falcon,HYST,SMOKE_ONLY,,,,,,,,Churn/local-stability pattern authorizes smoke; no endpoint scoring yet.,artifacts/funnel_prefilters/decision.json;artifacts/funnel_prefilters/report.md;artifacts/funnel_prefilters/smoke_traces.json
21_msurface_diagnostic,Granite/Falcon,M-SURFACE,DEFERRED,,,,,,,,Surfaces are hookable but cached internal activations are absent; no GPU before LAMBDA/HYST smoke.,artifacts/msurface/decision.json;artifacts/msurface/hook_map.md;artifacts/msurface/surface_drift_table.csv
22_mbranch_diagnostic,Falcon-H1,M-BRANCH,DEFERRED,,,,,,,,No branch-local cache and no clear implementation reason to spend GPU before smoke.,artifacts/mbranch/decision.json;artifacts/mbranch/hook_map.md;artifacts/mbranch/branch_drift_table.csv
23_restricted_kllook_if_present,Granite/Nemotron optional,KLLOOK,DEFERRED,,,,,,,,Reserved for after LAMBDA/HYST smoke if ceiling evidence is needed.,
