surface,condition,row_class,claim_class,accuracy,strict_accuracy,target_accuracy,delta_vs_target,payload_bytes,transport_record_bytes,raw_ratio_vs_packet,single_request_line_bytes_64b,line_ratio_vs_packet,single_request_dma_bytes_128b,dma_ratio_vs_packet,batch64_packet_record_line_bytes_per_request,batch64_packet_record_dma_bytes_per_request,prompt_tokens,prompt_token_delta_vs_packet,prompt_bytes,prompt_byte_delta_vs_packet,generated_tokens,p50_ttft_ms,p95_ttft_ms,p50_e2e_ms,p95_e2e_ms,qjl_1bit_kv_delta_bytes_vs_packet,kivi_2bit_kv_delta_bytes_vs_packet,turboquant_2p5bit_kv_delta_bytes_vs_packet,turboquant_3p5bit_kv_delta_bytes_vs_packet,fp16_bf16_kv_delta_bytes_vs_packet,source_private,source_text_exposed,source_kv_exposed,source_destroying_control,transport_conclusion
core n160 label_strict,target_only,target_baseline,no_source_baseline,0.25,0.25,0.25,0,0,0,0,0,0,0,0,,,218.306,0,925,5,13,482.652,649.181,2141.5,2333.74,0,0,0,0,0,False,False,False,False,no source-side transport
core n160 label_strict,matched_packet,source_private_packet,headline_endpoint_proxy,0.675,0.6625,0.25,0.425,2,5,1,64,1,128,1,5,6,218.306,0,920,0,12.875,471.636,662.909,2126.43,2342.16,0,0,0,0,0,True,False,False,False,2-byte source-private packet; one line when isolated and batch-packable to 5B/request
core n160 label_strict,matched_byte_text_2,source_destroying_control,destructive_control,0.25,0.25,0.25,0,2,2,1,64,1,128,1,,,217.306,0,920,0,13,473.018,644.878,2145.53,2380.56,0,0,0,0,0,False,True,False,True,"same-byte text control stays at target accuracy, so raw text budget alone does not explain the gain"
core n160 label_strict,random_same_byte_packet,source_destroying_control,destructive_control,0,0,0.25,-0.25,2,2,1,64,1,128,1,,,218.306,0,920,0,13,459.329,650.667,2134.41,2365.24,0,0,0,0,0,False,False,False,True,source-destroying control; should stay near target-only
core n160 label_strict,deranged_candidate_diag_table,source_destroying_control,destructive_control,0.24375,0.24375,0.25,-0.00625,2,2,1,64,1,128,1,,,218.306,0,920,0,12.8125,465.86,650.89,2141.5,2358.73,0,0,0,0,0,False,False,False,True,source-destroying control; should stay near target-only
core n160 label_strict,query_aware_diag_span,private_text_relay,source_text_comparator,0.69375,0.69375,0.25,0.44375,14,14,7,64,1,128,1,,,221.613,3.30625,932,12,13,452.031,651.304,2145.95,2337.09,23699.2,47398.4,59248,82947.2,379187,False,True,False,False,short text ties one 64B line but uses 7x raw bytes and exposes private evidence text
core n160 label_strict,structured_json_diag,private_text_relay,source_text_comparator,0.575,0.575,0.25,0.325,21,21,10.5,64,1,128,1,,,223.306,5,939,19,13,478.584,648.183,2134.54,2342.68,35840,71680,89600,125440,573440,False,True,False,False,"structured text uses more raw bytes, exposes private evidence text, and adds prompt/KV tokens"
core n160 label_strict,structured_free_text_diag,private_text_relay,source_text_comparator,0.7125,0.7125,0.25,0.4625,17,17,8.5,64,1,128,1,,,221.306,3,935,15,13,474.183,656.568,2151.35,2381.99,21504,43008,53760,75264,344064,False,True,False,False,"structured text uses more raw bytes, exposes private evidence text, and adds prompt/KV tokens"
core n160 label_strict,full_hidden_log,private_log_relay,source_text_comparator,0.4625,0.45625,0.25,0.2125,366.5,366.5,183.25,384,6,384,3,,,305.738,87.4313,1284.5,364.5,12.9375,635.909,838.668,2431.18,2649.85,626707,1.25341e+06,1.56677e+06,2.19348e+06,1.00273e+07,False,True,False,False,"full private log is hundreds of bytes, multiple lines, larger prompt/KV traffic, and slower TTFT"
holdout n160 label_strict,target_only,target_baseline,no_source_baseline,0.25,0.25,0.25,0,0,0,0,0,0,0,0,,,218.306,0,925,5,13,556.259,971.766,2106.41,3093.02,0,0,0,0,0,False,False,False,False,no source-side transport
holdout n160 label_strict,matched_packet,source_private_packet,headline_endpoint_proxy,0.6875,0.675,0.25,0.4375,2,5,1,64,1,128,1,5,6,218.306,0,920,0,12.875,547.21,770.755,2110.92,3136.62,0,0,0,0,0,True,False,False,False,2-byte source-private packet; one line when isolated and batch-packable to 5B/request
holdout n160 label_strict,matched_byte_text_2,source_destroying_control,destructive_control,0.25,0.25,0.25,0,2,2,1,64,1,128,1,,,217.306,0,920,0,13,545.183,838.802,2107.43,3107.51,0,0,0,0,0,False,True,False,True,"same-byte text control stays at target accuracy, so raw text budget alone does not explain the gain"
holdout n160 label_strict,random_same_byte_packet,source_destroying_control,destructive_control,0,0,0.25,-0.25,2,2,1,64,1,128,1,,,218.306,0,920,0,13,547.074,859.814,2090.6,3032.94,0,0,0,0,0,False,False,False,True,source-destroying control; should stay near target-only
holdout n160 label_strict,deranged_candidate_diag_table,source_destroying_control,destructive_control,0.24375,0.24375,0.25,-0.00625,2,2,1,64,1,128,1,,,218.306,0,920,0,12.9375,549.359,862.188,2108,3034.91,0,0,0,0,0,False,False,False,True,source-destroying control; should stay near target-only
holdout n160 label_strict,query_aware_diag_span,private_text_relay,source_text_comparator,0.6875,0.6875,0.25,0.4375,14,14,7,64,1,128,1,,,221.613,3.30625,932,12,13,558.926,849.611,2117.99,3010.77,23699.2,47398.4,59248,82947.2,379187,False,True,False,False,short text ties one 64B line but uses 7x raw bytes and exposes private evidence text
holdout n160 label_strict,structured_json_diag,private_text_relay,source_text_comparator,0.59375,0.59375,0.25,0.34375,21,21,10.5,64,1,128,1,,,223.306,5,939,19,13,552.498,724.55,2123.32,3116.42,35840,71680,89600,125440,573440,False,True,False,False,"structured text uses more raw bytes, exposes private evidence text, and adds prompt/KV tokens"
