artifact,baseline,branch,ci95_low,decision,delta,evidence,record_bytes,score,section,status
conditional_public_zscore,0.441406,Conditional PQ public-zscore held-out-family decoder,-0.085938,Do not widen public-zscore to n500/remap.,0.011719,0/2 pass; best source-minus-control 0.011719 against label_shuffled_encoder.,7,0.453125,iclr_blocker,ruled_out_as_cross_family_rescue
conditional_public_svd,0.613281,Conditional PQ public-SVD whitening held-out-family decoder,-0.32041,Do not continue deterministic public-basis whitening as the rescue path.,-0.238281,0/2 pass; best source-minus-control -0.238281 against permuted_codes. Worst row -0.500000.,7,0.375,iclr_blocker,ruled_out_as_cross_family_rescue
conditional_corruption_noop,0.25,Conditional PQ corruption-to-noop receiver,0,Keep as diagnostic; do not promote this receiver family.,0,0/6 pass; best source-minus-control 0.000000 against label_shuffled_encoder.,7,0.25,iclr_blocker,ruled_out_as_cross_family_rescue
conditional_pq_integrity_threshold,0.457031,Conditional PQ scalar integrity threshold,-0.097656,Do not continue scalar threshold integrity on this public-zscore conditional-PQ receiver.,-0.03125,Selected negative_min_l2 threshold; source 0.425781 vs best control label_shuffled_encoder at 0.457031; source/max-corrupt accept 0.773438/1.000000.,7,0.425781,iclr_blocker,ruled_out_simple_integrity_threshold
arc_sparse_resonance,0.625,ARC sparse resonance PCA/target-aligned soft-prefix packets,,Do not widen plain PCA/target-aligned soft-prefix packets.,-0.375,0/4 pass; best matched-minus-control -0.375000 with best control source_free_prefix.,,0.25,iclr_blocker,ruled_out_current_basis_receiver
arc_behavior_atom_decoder,0.4375,ARC behavior-supervised atom SRP decoder,-0.3125,"Keep the strict atom harness, but do not scale the current behavior/PCA/BatchTopK-style atom basis without a new source-causality mechanism.",0,"0/5 pass; best matched 0.437500 vs required control top_atom_knockout at 0.437500; fired 8 rows, helps/harms 3/0.",7,0.4375,iclr_blocker,ruled_out_current_behavior_atom_basis
openbookqa_receiver_headroom,0.422,OpenBookQA train-only packet+target receiver,0.00795,"Do not promote as a positive second-benchmark row; the same-source-choice wrong-row control nearly matches the receiver, so it is a source-choice artifact diagnostic.",0.002,Held-out test n=500; receiver candidate pass False; default receiver 0.424000 vs best baseline/control 0.422000; aggregate seed-row CI low 0.000400; strict per-seed CI 2/5.,3,0.424,iclr_blocker,weakened_openbookqa_source_choice_control
hellaswag_protected_rival,0.467448,HellaSwag protected top-2/rival packet,-0.013021,Do not rerun generic protected top-2/rival switchers.,-0.005208,"Oracle 0.678385, selected decoder harms 6 vs helps 2.",5,0.46224,iclr_blocker,ruled_out_shallow_pair_decoder
hellaswag_official_receiver,0.467448,HellaSwag official-train receiver-calibrated selector,-0.007812,Do not continue shallow linear score-feature selectors without new evidence.,-0.001302,Oracle 0.766927; eval-label diagnostic delta is only 0.002604.,5,0.466146,iclr_blocker,weakened_near_miss
hellaswag_harm_bucket,0.467448,HellaSwag harm-controlled complementarity buckets,0,Low-harm bucket receiver is saturated.,0,Selected scheme no_op with 0 eligible buckets and 0 overrides.,6,0.467448,iclr_blocker,ruled_out_no_safe_bucket
hellaswag_top2_bucket,0.467448,HellaSwag top1/top2 ambiguity buckets,0,Do not continue rank/score-bin top2 buckets without a new packet field.,0,"Source top1/top2 oracle 0.675781, but selected bucket overrides 0 rows.",4,0.467448,iclr_blocker,ruled_out_no_safe_bucket
hellaswag_denoising_syndrome,0.467448,HellaSwag denoising syndrome packet,-0.010417,Do not promote ridge-denoising syndrome decoder.,-0.003906,Target/hybrid oracle 0.604167; denoising helps 2 and harms 5.,4,0.463542,iclr_blocker,ruled_out_shallow_syndrome_decoder
hellaswag_sparse_common_basis,0.501953,HellaSwag sparse/common-basis top2 ambiguity code,-0.00293,Do not claim sparse atom causality from this branch.,-0.000977,Best destructive control target_derived_source_pair_ambiguity_control at 0.501953; atom code helps 0 and harms 1.,4,0.500977,iclr_blocker,weakened_common_basis_atom
target_self_oracle_soft_prefix,0.625,Target self-resonance oracle soft-prefix capacity,,Use only as capacity/headroom evidence; it optimizes on eval rows.,0.3125,3/3 tiny oracle rows pass; best optimized agreement 0.937500 beats shuffled_optimized_prefix at 0.625000.,,0.9375,iclr_blocker,capacity_alive_not_source_private_method
target_self_learned_encoders,0.6875,Target self-resonance held-out learned prefix encoders,,Do not run more chunk/distill/query-resampler variants without a new information path.,0,1/5 pass; best agreement delta 0.000000 against slots_only_encoder; worst agreement delta -0.125000.,,0.6875,iclr_blocker,ruled_out_current_target_native_encoder_family
target_self_source_conditioned_receivers,0.375,Source-conditioned target-native resonance receivers,,Diagnose complementarity/gating before implementing another source-to-prefix decoder.,0,0/5 pass; best accuracy delta 0.000000 against zero_source_hidden; source top1/top2 oracle reaches 1.000000.,,0.375,iclr_blocker,ruled_out_current_source_conditioned_receiver_family
hellaswag_complementarity_frontier,0.467448,HellaSwag complementarity-frontier selector diagnostic,0,Do not train another HellaSwag selector on the same packet fields; require a new information path.,0,"Fixed+source top1/top2 oracle 0.694010; source top1/top2 covers 174 fixed-hybrid errors, but selected frontier makes 0 overrides.",4,0.467448,iclr_blocker,headroom_alive_selector_blocked
hellaswag_multisignal_packet_frontier,0.467448,HellaSwag multi-signal source packet frontier,-0.02347,Do not continue cached Qwen policy-prediction packets on this HellaSwag slice.,-0.011719,Selector accuracy 0.455729 vs fixed 0.467448; overrides 30 rows; best destructive control field_shuffle_multisignal_control at 0.430990.,5,0.455729,iclr_blocker,ruled_out_cached_policy_packet
