split,row_id,content_id,alt_source_selected_index,qwen_source_selected_index,agree,answer_index,alt_source_correct,qwen_source_correct
validation,Mercury_SC_407695,73e0c55eda2441efde7288a80ee924c2fcd979b133f33327372bdea974ce891c,1,1,True,3,False,False
validation,Mercury_7103565,04c4cfedd010563d31dfae49e6ca3540d37d5482aa8fd00ea3fd623c74ced5c3,0,2,False,2,False,True
validation,MDSA_2009_5_16,2d7091148737d00beb32e8e31aa6c527464b6ea90b506548dc2a4dd89898cf0d,3,3,True,3,True,True
validation,Mercury_7027230,e3854765571b3c5ee4c4cfa30245b729a4d150c0ae49155fe865eba9758a6ee7,3,3,True,0,False,False
validation,Mercury_SC_405487,53615b35a63114d47c5e8cc4234974a3ec04f3fbed77ad3d32160ab3a9870f10,1,1,True,1,True,True
validation,Mercury_7032743,d8738c939df831a49f865d24a255f9f7b751aeb9ea22601aaf188ef5fe1d0095,1,3,False,2,False,False
validation,Mercury_7205135,df38a930435b76fb62c6b4bf92b35b14fc1d757742a2fc6ceeba62fc638a1989,2,2,True,2,True,True
validation,MDSA_2007_4_52,95254a94a0fe0dce4883b866e8ef919d9bc7294bdbd79b1e5c7cd5c478fc31c7,2,2,True,2,True,True
validation,Mercury_7103215,00320a6669b55ee6731b2775ca81be45a2c9c26f2c20425c0b46f62db0b74609,2,2,True,2,True,True
validation,Mercury_192168,a4a50775f44f7aecf9d1e799b475038b1eb33fec6d42b4f4072c55f80e5c737d,1,1,True,3,False,False
validation,Mercury_SC_412337,ecf1c1a64153acd1416563c0149719d83b126174be43b97471656e6849e728b9,2,0,False,3,False,False
validation,Mercury_7162838,a0dbef55b8677f9300bd9a4a40751d82827260094bd0d016ffce2ee3acb0668b,0,0,True,3,False,False
validation,Mercury_7159775,7c5c5809f4c56028fd04d6ffdd2fdf02c82f546ff2c406ec269e83e3b4aba8d6,1,3,False,0,False,False
validation,Mercury_7195440,24c3e0f432772aecee8d1c3a618708ac0dc826ef8249cdad72dfb44c5b0097c4,1,1,True,1,True,True
validation,Mercury_7017990,302dd5e5d09cf026bec3aaddfeb85e13e264712a64f87b682b2865714d544efe,2,3,False,0,False,False
validation,TIMSS_2007_4_pg90,1b843979e6b79326872602d22a495696ad5ac7ae2af03431b98c14afa6531aca,3,3,True,2,False,False
validation,Mercury_7198380,9864e872b6be0c43355931af23f78864868e078cd78178d4ad28c330e4c1c000,2,3,False,3,False,True
validation,NAEP_2005_8_S11+14,1048aeed5cf4c7c113c3fe59cbfadf7cda2a7fd4a0d7ecd4044846c93eec52b7,1,1,True,1,True,True
validation,Mercury_192290,d04e9366f6ec95e942cb26e6d170dc01b4140e1b6b2ded2f7c5cb75910683523,3,1,False,3,True,False
validation,Mercury_7192990,00cbe26cabe454066372f64117da932af6f269c4333b324777b7b400f791024e,3,1,False,0,False,False
validation,Mercury_7217053,1c1d1b7e02dc16122cfbe5df29f584a087f52112d48ba7ee50739b7fc4acea09,1,1,True,1,True,True
validation,Mercury_7179358,e6d1f90db42097b683246f0423b0d8e4b53f2e462e27c9bffee5b80e61d3fca2,1,2,False,1,True,False
validation,MCAS_2005_8_5,98f4f9e339b189f34015b119a26abe1483cd26c638af5b4997291a6f9352f037,3,3,True,3,True,True
validation,MCAS_2000_8_10,1019f7f60a4b8caa89ea4d03282df1c7712bb4d62d47bc7fd4f10c60e3373af5,3,3,True,1,False,False
validation,Mercury_7187915,1d2cd7a3836afaa714d8f42877542958c7b8f1f99a9b0372f86e54cf5fa2a87d,0,0,True,0,True,True
validation,Mercury_7189823,f779c26f3eee74862e22b36070209f785c57c25d03f6e20e9e5feb3c4d655487,3,3,True,0,False,False
validation,Mercury_405454,a26ba59775c2319e984d2bbcaefcec460d5aaa601f4023b71a1749a14da06886,2,2,True,3,False,False
validation,MCAS_2012_5_8,449cc6fb37ef238e8e0f27e2fa8b7539056b14f422b06eff14dbfc48b9ab5bcc,1,3,False,1,True,False
validation,Mercury_SC_LBS10040,3427bc66bf6cd05a0df8d51fda7f4b1773cbe7077d87a8add98153f7a897196f,1,0,False,3,False,False
validation,Mercury_7115063,4c3f696d284c3a4b9787623347f1f0814d5f8efc9ff4955833f2ccce9e72ed97,0,0,True,0,True,True
validation,MCAS_2015_8_7,127c6b676bd87e904ef1526f2277449e6fc4ae5da9f9a09c55f05dd247f2316e,1,1,True,1,True,True
validation,Mercury_184765,83797d0d2bc542d08d07b2c9957f49e228adcec377d1169be860a37980dcd906,2,2,True,1,False,False
validation,ACTAAP_2013_7_17,269193a5ebc76955effe1bcadcff0cf5cc770a40a160060cb5c763e6e5f0ea46,1,0,False,3,False,False
validation,Mercury_7248238,8a83f0c58bae51a3854b04af9644ae7ade01889681ff5c0b9f6b596791adff23,2,0,False,3,False,False
validation,Mercury_SC_410964,893cfb8eccc1495a629be5037d1887c786d2d5ba4298abc45430160b02a175ca,3,3,True,3,True,True
