row_class,method,surface,communicated_object,raw_payload_bytes,cache_lines_64b,cacheline_payload_bytes,dma_bursts_128b,dma_payload_bytes,raw_byte_ratio_vs_packet,cacheline_ratio_vs_packet,source_private,source_text_exposed,source_kv_exposed,source_destroying_controls,accuracy,target_accuracy,delta_vs_target,ttft_ms,p50_ttft_delta_vs_packet_ms,packet_lifetime,receiver_access_pattern,hardware_claim,paper_use,overclaim_guard
endpoint_packet,LatentWire endpoint packet,core n160 label_strict,diagnostic atom packet,2,1,64,1,128,1,1,True,False,False,passed,0.675,0.25,0.425,471.636,0,ephemeral_per_request_scalar_packet,one packet read by receiver; no source KV/text materialization,payload byte win; line-rounded traffic equal to one 64B line,headline hardware-facing packet row,Do not claim production GPU serving throughput from this row.
endpoint_packet,LatentWire endpoint packet,holdout n160 label_strict,diagnostic atom packet,2,1,64,1,128,1,1,True,False,False,passed,0.6875,0.25,0.4375,547.21,0,ephemeral_per_request_scalar_packet,one packet read by receiver; no source KV/text materialization,payload byte win; line-rounded traffic equal to one 64B line,headline hardware-facing packet row,Do not claim production GPU serving throughput from this row.
endpoint_text_relay,query-aware diagnostic text,core n160 label_strict,private diagnostic text,14,1,64,1,128,7,1,False,True,False,not_applicable,,0.25,,,,prompt_lifetime_visible_private_text,text bytes enter receiver prompt and attention prefix,higher prompt ingress traffic and longer TTFT in endpoint proxy,text relay traffic comparator,Do not call higher-byte text failure when it catches up.
endpoint_text_relay,full hidden-log relay,core n160 label_strict,private diagnostic text,366.5,6,384,3,384,183.25,6,False,True,False,not_applicable,,0.25,,635.909,164.273,prompt_lifetime_visible_private_text,text bytes enter receiver prompt and attention prefix,higher prompt ingress traffic and longer TTFT in endpoint proxy,text relay traffic comparator,Do not call higher-byte text failure when it catches up.
endpoint_text_relay,query-aware diagnostic text,holdout n160 label_strict,private diagnostic text,14,1,64,1,128,7,1,False,True,False,not_applicable,,0.25,,,,prompt_lifetime_visible_private_text,text bytes enter receiver prompt and attention prefix,higher prompt ingress traffic and longer TTFT in endpoint proxy,text relay traffic comparator,Do not call higher-byte text failure when it catches up.
endpoint_text_relay,full hidden-log relay,holdout n160 label_strict,private diagnostic text,373.5,6,384,3,384,186.75,6,False,True,False,not_applicable,,0.25,,730.755,183.545,prompt_lifetime_visible_private_text,text bytes enter receiver prompt and attention prefix,higher prompt ingress traffic and longer TTFT in endpoint proxy,text relay traffic comparator,Do not call higher-byte text failure when it catches up.
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,semantic-anchor atom packet,4,1,64,1,128,2,1,True,False,False,passed,,0.25,,,,ephemeral_per_request_semantic_packet,tiny packet plus public receiver dictionary,medium-scale source-private positive row under one 64B line,method evidence traffic row,Do not claim prompt-contract-free or activation-level latent transfer from this row.
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,semantic-anchor atom packet,8,1,64,1,128,4,1,True,False,False,passed,,0.25,,,,ephemeral_per_request_semantic_packet,tiny packet plus public receiver dictionary,medium-scale source-private positive row under one 64B line,method evidence traffic row,Do not claim prompt-contract-free or activation-level latent transfer from this row.
kv_byte_floor,QJL-style 1-bit source KV byte floor,endpoint source context byte accounting,quantized source KV/cache tensor,21504,336,21504,168,21504,10752,336,False,False,True,not_applicable,,,,,,source_context_cache_lifetime,internal source KV/cache tensor must be transported or retained,"KV byte-floor assumption contrast, not native KV benchmark",KV/cache movement lower-bound comparator,Do not claim superiority over native KV/cache compression.
kv_byte_floor,KIVI/KVQuant-style 2-bit source KV byte floor,endpoint source context byte accounting,quantized source KV/cache tensor,43008,672,43008,336,43008,21504,672,False,False,True,not_applicable,,,,,,source_context_cache_lifetime,internal source KV/cache tensor must be transported or retained,"KV byte-floor assumption contrast, not native KV benchmark",KV/cache movement lower-bound comparator,Do not claim superiority over native KV/cache compression.
