baseline,byte_regime,category,included_in_current_eval,latentwire_distinction,receiver_training,source,source_private,still_needed,target_access,what_transfers
Cache-to-Cache (C2C),high bandwidth KV/cache state,dense_cache_transfer,systems-boundary comparator only,LatentWire transmits tiny source-private packets and evaluates utility per byte; it does not claim raw-accuracy or native serving wins over C2C.,learned projection/gating,https://openreview.net/forum?id=LeatkxrBCi,"no, dense source cache state crosses the interface",direct native C2C run on matching models/tasks for any stronger claim,target internals,projected source KV cache fused into target KV cache
Latent Space Communication via K-V Cache Alignment,dense K/V cache state,dense_cache_transfer,related-work boundary,K/V cache alignment is a direct dense latent-communication competitor; LatentWire must claim only low-rate packet transfer unless direct cache alignment rows are run.,cache alignment map,https://arxiv.org/abs/2601.06123,"no, aligned cache state crosses the boundary",direct comparison if claiming broad latent communication novelty,target cache path,aligned prefix K/V cache from source model into target model decoding
DroidSpeak,KV/cache state,kv_cache_serving,related-work and systems-boundary comparator,DroidSpeak is cache reuse; LatentWire studies source-private task packets with wrong-row and source-choice controls.,serving/runtime method,https://arxiv.org/abs/2411.02820,"no, cache state is reused",native serving comparison only after GPU setup,compatible architecture cache path,compatible KV caches across distributed LLM nodes
KVCOMM,KV/cache state,kv_cache_serving,related-work and systems-boundary comparator,KVCOMM is a high-bandwidth cache communication regime; LatentWire is a low-byte packet protocol with destructive source-private controls.,training-free cache communication,https://arxiv.org/abs/2510.12872,"no, cache information crosses the agent boundary",native baseline if claiming runtime superiority,cache-level access,cross-context KV-cache information for multi-agent inference
RelayCaching,KV/cache state,kv_cache_serving,related-work and systems-boundary comparator,RelayCaching accelerates cache reuse; LatentWire evaluates whether compact source evidence causes target utility without exposing cache/text.,serving/runtime method,https://arxiv.org/abs/2603.13289,"no, produced cache state is reused",native serving baseline for latency or throughput claims,cache-level access,decoding-time KV caches for collaborative generation
CacheGen / LMCache / CacheBlend-style reuse,compressed cache/prompt state,kv_cache_reuse,systems-boundary comparator,Cache-reuse systems optimize serving reuse for existing context; LatentWire sends small task-level source evidence packets across model boundaries.,system-dependent,https://arxiv.org/abs/2310.07240,"no, cache or prompt-derived state is reused",native vLLM/SGLang/LMCache run for throughput claims,serving cache path,"compressed, streamed, or blended reusable prompt/cache state"
Communicating Activations Between Language Model Agents,dense activations,activation_communication,related-work boundary,"LatentWire emphasizes source-private low-byte packets, explicit packet bytes, and destructive controls rather than generic activation exchange.",method-dependent,https://arxiv.org/abs/2501.14082,limited; activation vectors are exposed,cite and distinguish in related-work matrix,activation-level access,activation vectors between language-model agents
CIPHER / Let Models Speak Ciphers,embedding vectors or continuous messages,activation_communication,related-work boundary,CIPHER pressures broad latent-message novelty; LatentWire's narrower claim is byte-counted source-private packets with destructive controls.,method-dependent,https://arxiv.org/abs/2310.06272,partial; embedding messages are exposed to peers,avoid claiming generic embedding communication novelty,embedding/message interface,embedding-level messages between debating LLM agents
Direct Semantic Communication via Vector Translation,dense vector communication,latent_translation,related-work boundary,LatentWire requires low-byte source-private packet accounting and source-choice destructive controls.,translation model,https://arxiv.org/abs/2511.03945,partial; dense vectors may expose source state,verify final citation metadata before camera-ready,representation-level access,translated semantic vectors
InterLat,latent vector state,latent_translation,related-work boundary,"LatentWire claims only packetized, byte-counted, source-private transfer under destructive controls.",method-dependent,https://arxiv.org/abs/2511.09149,partial; dense latent state may cross,verify final citation metadata before camera-ready,latent-level access,intermediate latent representations
Prefix tuning,learned prompt parameters,soft_prompting,conceptual baseline,Prefix tuning adapts one model; LatentWire tests row-specific source evidence packets with wrong-row and source-choice controls.,trained prefix,https://aclanthology.org/2021.acl-long.353/,not a source-to-target communication protocol,baseline wording in related work,target model prompt interface,task-specific continuous prefix parameters
Gist tokens,soft/visible compressed context,context_compression,conceptual baseline,Gist compresses a model's context; LatentWire transfers hidden source evidence between models with source-private controls.,trained compression behavior,https://proceedings.neurips.cc/paper_files/paper/2023/hash/3d77c6dcc7f143aa2154e7f4d5e22d68-Abstract-Conference.html,"no, compression is of visible context",same-byte visible text baseline remains the local control,target prompt/context path,learned summary tokens for prompt compression
LLMLingua / LongLLMLingua,compressed text/token context,context_compression,same-byte visible text is the local control,LLMLingua compresses visible context; LatentWire tests whether opaque source-private packets add utility beyond same-byte visible text.,prompt compression model,https://arxiv.org/abs/2310.05736; https://arxiv.org/abs/2310.06839,"no, visible prompt content is compressed and exposed",optional stronger visible-text compression baseline for ICLR,target text prompt interface,compressed visible prompt text or retained prompt tokens
BLIP-2 / Q-Former,learned query token bottleneck,query_bottleneck,architectural precedent,LatentWire's novelty is not query bottlenecks; it is packetized source-private model-to-model transfer plus destructive controls.,trained Q-Former,https://arxiv.org/abs/2301.12597,not a source-to-target LLM communication protocol,"cite as precedent, not baseline claim",frozen LM interface,query bottleneck between vision encoder and language model
Flamingo / Perceiver Resampler,latent token bottleneck,query_bottleneck,architectural precedent,"LatentWire differs by source-private packets, byte accounting, and controls against source-choice artifacts.",trained multimodal bridge,https://arxiv.org/abs/2204.14198,not source-private model-to-model communication,"cite as precedent, not novelty",LM cross-attention path,fixed latent resampler tokens into LM cross-attention
Perceiver IO,latent array,query_bottleneck,architectural precedent,Latent arrays are prior art; LatentWire's claim is communication protocol evaluation under strict controls.,trained architecture,https://arxiv.org/abs/2107.14795,not a source-to-target LLM communication protocol,cite as motivation only,model architecture,latent query array for generic input/output mapping
Sparse Crosscoders,sparse feature coordinates if packetized,common_basis,related-work boundary,Common bases alone are not novel; LatentWire must show sparse features cause source-private downstream utility under atom-shuffle and wrong-row controls.,trained crosscoder,https://transformer-circuits.pub/2024/crosscoders/,"feature analysis, not packet transfer",future SRP method should compare directly if using crosscoders,activation datasets,shared and private features across activation spaces
