section,branch,status,score,baseline,delta,ci95_low,record_bytes,artifact,decision
colm_v2_core,Conditional PQ shared-schema packet,promote_for_colm_v2_only,16,16,0.658,0.658,7,conditional_pq_status,Use as the COLM_v2 positive method boundary; not enough for ICLR generality.
colm_v2_core,HellaSwag fixed hybrid candidate packet,promote_for_colm_v2_systems_baseline,0.532464,0.526688,0.005776,0.002888,4,hellaswag_fixed_hybrid,"Useful COLM_v2 systems/privacy row, but not a learned latent receiver."
colm_v2_supporting,Conditional PQ scalar integrity threshold,ruled_out_simple_integrity_threshold,0.425781,0.457031,-0.03125,-0.097656,7,conditional_pq_integrity_threshold,Do not continue scalar threshold integrity on this public-zscore conditional-PQ receiver.
colm_v2_supporting,Target self-resonance oracle soft-prefix capacity,capacity_alive_not_source_private_method,0.9375,0.625,0.3125,,,target_self_oracle_soft_prefix,Use only as capacity/headroom evidence; it optimizes on eval rows.
colm_v2_supporting,HellaSwag complementarity-frontier selector diagnostic,headroom_alive_selector_blocked,0.467448,0.467448,0,0,4,hellaswag_complementarity_frontier,Do not train another HellaSwag selector on the same packet fields; require a new information path.
colm_v2_supporting,HellaSwag multi-signal source packet frontier,ruled_out_cached_policy_packet,0.455729,0.467448,-0.011719,-0.02347,5,hellaswag_multisignal_packet_frontier,Do not continue cached Qwen policy-prediction packets on this HellaSwag slice.
iclr_blocker,Conditional PQ public-zscore held-out-family decoder,ruled_out_as_cross_family_rescue,0.453125,0.441406,0.011719,-0.085938,7,conditional_public_zscore,Do not widen public-zscore to n500/remap.
iclr_blocker,Conditional PQ public-SVD whitening held-out-family decoder,ruled_out_as_cross_family_rescue,0.375,0.613281,-0.238281,-0.32041,7,conditional_public_svd,Do not continue deterministic public-basis whitening as the rescue path.
iclr_blocker,Conditional PQ corruption-to-noop receiver,ruled_out_as_cross_family_rescue,0.25,0.25,0,0,7,conditional_corruption_noop,Keep as diagnostic; do not promote this receiver family.
iclr_blocker,Conditional PQ scalar integrity threshold,ruled_out_simple_integrity_threshold,0.425781,0.457031,-0.03125,-0.097656,7,conditional_pq_integrity_threshold,Do not continue scalar threshold integrity on this public-zscore conditional-PQ receiver.
iclr_blocker,ARC sparse resonance PCA/target-aligned soft-prefix packets,ruled_out_current_basis_receiver,0.25,0.625,-0.375,,,arc_sparse_resonance,Do not widen plain PCA/target-aligned soft-prefix packets.
iclr_blocker,HellaSwag protected top-2/rival packet,ruled_out_shallow_pair_decoder,0.46224,0.467448,-0.005208,-0.013021,5,hellaswag_protected_rival,Do not rerun generic protected top-2/rival switchers.
iclr_blocker,HellaSwag official-train receiver-calibrated selector,weakened_near_miss,0.466146,0.467448,-0.001302,-0.007812,5,hellaswag_official_receiver,Do not continue shallow linear score-feature selectors without new evidence.
iclr_blocker,HellaSwag harm-controlled complementarity buckets,ruled_out_no_safe_bucket,0.467448,0.467448,0,0,6,hellaswag_harm_bucket,Low-harm bucket receiver is saturated.
iclr_blocker,HellaSwag top1/top2 ambiguity buckets,ruled_out_no_safe_bucket,0.467448,0.467448,0,0,4,hellaswag_top2_bucket,Do not continue rank/score-bin top2 buckets without a new packet field.
iclr_blocker,HellaSwag denoising syndrome packet,ruled_out_shallow_syndrome_decoder,0.463542,0.467448,-0.003906,-0.010417,4,hellaswag_denoising_syndrome,Do not promote ridge-denoising syndrome decoder.
iclr_blocker,HellaSwag sparse/common-basis top2 ambiguity code,weakened_common_basis_atom,0.500977,0.501953,-0.000977,-0.00293,4,hellaswag_sparse_common_basis,Do not claim sparse atom causality from this branch.
iclr_blocker,Target self-resonance oracle soft-prefix capacity,capacity_alive_not_source_private_method,0.9375,0.625,0.3125,,,target_self_oracle_soft_prefix,Use only as capacity/headroom evidence; it optimizes on eval rows.
iclr_blocker,Target self-resonance held-out learned prefix encoders,ruled_out_current_target_native_encoder_family,0.6875,0.6875,0,,,target_self_learned_encoders,Do not run more chunk/distill/query-resampler variants without a new information path.
iclr_blocker,Source-conditioned target-native resonance receivers,ruled_out_current_source_conditioned_receiver_family,0.375,0.375,0,,,target_self_source_conditioned_receivers,Diagnose complementarity/gating before implementing another source-to-prefix decoder.
iclr_blocker,HellaSwag complementarity-frontier selector diagnostic,headroom_alive_selector_blocked,0.467448,0.467448,0,0,4,hellaswag_complementarity_frontier,Do not train another HellaSwag selector on the same packet fields; require a new information path.
iclr_blocker,HellaSwag multi-signal source packet frontier,ruled_out_cached_policy_packet,0.455729,0.467448,-0.011719,-0.02347,5,hellaswag_multisignal_packet_frontier,Do not continue cached Qwen policy-prediction packets on this HellaSwag slice.
