contribution,status,headline_evidence,main_metric,remaining_gap
OpenBookQA 3B shared-basis second public benchmark,new second public-benchmark positive gate and stronger rate point,validation seed stability=5/5 with matched/target/text mean=0.356/0.252/0.326; test seed stability=5/5 with matched/target/text mean=0.378/0.276/0.350,3B payload; test min lift over target=0.102; min lift over same-byte text=0.028; min lift over best destructive=0.100; min CI95 low vs target=0.038,"This promotes OpenBookQA as a second public benchmark beyond ARC and shows the public-basis packet still beats target-only, same-byte text, and destructive controls at 3B. The source decision is still a Qwen choice-loglikelihood cache, so the next ICLR gate is a more native latent/source endpoint and GPU systems measurement."
OpenBookQA train-only packet/target receiver,new positive receiver-fusion method gate,default seed receiver=0.424 vs packet=0.378 and target-public=0.372; aggregate seed-row delta=0.034 with CI95 low=0.0004,3B source packet; default receiver-packet delta=0.046; default receiver-target delta=0.052; best receiver control=same_byte_structured_text at 0.378; strict per-seed CI pass count=2/5,"This is the first held-out positive receiver row after benchmark selection: validation selects a packet/target fusion rule and test improves over packet-only. The safe framing is source-private evidence fusion. For ICLR, we still need stronger seed/control stability, an ARC replication, and a less label-copy-like common-basis or learned connector."
ARC-Challenge receiver-fusion replication falsification,new negative cross-benchmark receiver gate / branch narrowed,default seed receiver=0.340 vs packet=0.344 and target-public=0.277; aggregate seed-row delta=-0.014 with CI95 low=-0.0218,12B source packet; default receiver-packet delta=-0.004; default receiver-target delta=0.062; strict per-seed CI pass count=0/5; best receiver control=same_byte_structured_text at 0.311,"ARC has substantial packet/target oracle headroom, but the OpenBookQA validation-selected receiver does not generalize: it protects against target-only weakness but hurts the stronger packet-only row. This demotes receiver-fusion as a cross-benchmark headline until we add a train-source selector, nested validation, or a less label-copy-like common-basis packet."
SciQ text-saturation diagnostic,"documented benchmark limitation, not a promoted headline benchmark",official SciQ splits materialized 11679/1000/1000 train/validation/test; validation matched/target/text=0.712/0.246/0.706,matched-source minus same-byte text=0.006; matched-source minus target=0.466; CI95 low vs target=0.425,"SciQ confirms the source signal is strong, but short answer strings let the matched-byte text control nearly catch up, so using it as a headline benchmark would weaken the fairness story. Keep it as a reviewer-facing limitation and benchmark-selection rationale."
CommonsenseQA non-science validation probe,"live non-science diagnostic, not a strict headline benchmark yet",labeled train/validation materialized as 9741/1221 with no overlap; 12B validation matched/target/text=0.440/0.206/0.440; 2B relaxed-margin seed stability=5/5,2B min lift over target=0.232; min lift over same-byte text=0.013; strict 0.02 text-margin pass count=0/5,"CommonsenseQA confirms the source signal is not science-only, but same-byte text is too close to the packet under the strict 0.02 margin and Hugging Face test labels are unavailable. Use this as the next live method-improvement target, not as an ICLR headline row yet."
HellaSwag 2B non-science adversarial continuation gate,"strong non-science slice, weakened by top-label-copy control",labeled train/validation materialized as 39905/10042 with no overlap; 1024-row fixed run matched/target/text=0.460/0.233/0.386; 5-seed stability=5/5; source-label copy=0.462,2B payload; 5B framed record; min lift over target=0.227; min lift over same-byte text=0.074; matched minus source-label copy=-0.002; min lift over best destructive=0.188; min CI95 low vs target=0.186,"The packet clears target-only, destructive controls, and same-byte choice-prefix text, but it does not beat the stronger one-byte top-label-copy control. Treat HellaSwag as a method-improvement surface until a packet carries more than the source top choice and then widen to full validation."
HellaSwag label-copy and score-packet headroom diagnostic,new reviewer-risk diagnostic / branch weakened,metadata controls clean=True; matched/source-label-copy=0.460/0.462; best rank-bin heldout/source-label heldout=0.465/0.465,matched minus best metadata/activity control=0.215; matched minus source-label copy=-0.002; top-2 oracle heldout=0.734; score packet delta=0.002,"The source top-2 contains substantial headroom, but confidence margin alone does not recover it. Next method branch should learn or calibrate a second-choice repair signal rather than simply quantizing the top-vs-runner-up margin."
HellaSwag train-only public receiver repair falsification,new negative method gate / branch pruned,train-only public receiver dev accuracy=0.309; source-label/public-only/top2-rerank/gated=0.462/0.260/0.364/0.413,best repair condition=public_if_in_source_top2; best repair minus source-label copy=-0.049; source top-2 oracle=0.716; public prediction in source top-2 rate=0.485,A public train-only receiver scorer cannot recover the HellaSwag top-2 headroom. This prunes the eval-only/public-feature repair branch and makes the next valid gate train-split source-score calibration or a true source hidden-summary repair packet.
HellaSwag train-source-score repair falsification,new negative source-score method gate / branch weakened,scored train rows=512; selected policy=top2_margin_8bin; dev/eval=0.461/0.447; source-label/trained-label=0.462/0.459,selected minus best label-copy=-0.015; source top-2/top-4 oracle=0.716/1.000; train source scoring latency=412.72s; record bytes=5B,"Train-source score shape does not beat source-label copy, despite large oracle headroom. This weakens score-only HellaSwag repair and makes source hidden-summary or residual-code repair the next live branch."
HellaSwag source-hidden summary repair falsification,new negative hidden-summary method gate / branch weakened,scored/hidden train rows=512; selected layer/ridge=-1/100.0; hidden-label/source-label eval=0.414/0.462; hidden-packet eval=0.413,hidden packet minus source-label copy=-0.049; hidden packet minus same-byte text=0.055; CI95 vs source-label=-0.086/-0.013; source top-2 oracle=0.716; hidden train/eval forward=257.7/332.3s; record bytes=5B,"A last-layer train-only source-hidden ridge scorer overfits train and underperforms raw source-label copy on frozen validation, even though the packet still beats same-byte text and destructive controls. This prunes simple hidden-label/hidden-residual repair; any revived hidden branch must use a different common-basis learner, layer sweep, denoising/OT objective, or cross-model supervision."
HellaSwag source-hidden innovation repair,new positive hard-surface method gate feeding anchored stability,scored/hidden train rows=512; selected view/ridge=score_hidden_residual/1000.0; dev/eval=0.492/0.499; best label-copy=0.462,selected minus best label-copy=0.037; CI95 low/high=0.010/0.061; zero/wrong/roll hidden controls=0.462/0.396/0.360; record bytes=5B,This is the first HellaSwag repair row that beats source-label copy with positive paired uncertainty while preserving the fixed-byte source-private packet boundary. A separate anchored split-stability gate now tests whether the score+hidden-residual method survives multiple train/dev splits; this row remains the single-split method discovery artifact.
HellaSwag anchored hidden-innovation split stability,"positive cached split gate, weakened by train-sample stress",anchored split seeds pass=5/5; eval mean/min/max=0.503/0.494/0.528; unrestricted diagnostic pass=3/5,min delta vs best label-copy=0.032; min CI95 low=0.007; min zero-hidden delta=0.032; wrong/candidate-roll max=0.400/0.377; record bytes=5B,"This upgrades HellaSwag from a single split to a cached split-stable anchored method, but a new train-row-sample stress now shows the branch is not yet robust enough for headline promotion."
HellaSwag hidden-innovation train-sample stress,new negative robustness gate / HellaSwag branch demoted from headline,"train sample pass map={'1729': True, '2027': False}; split rows pass=5/6; new sample pass count=0",mean/min delta vs best label-copy=0.021/-0.045; min CI95 low=-0.072; min zero-hidden delta=-0.045; record bytes=5B,"The original train sample remains positive, but the fresh 2027 train sample fails one split row. This weakens the current dense hidden-residual denoiser and points to either stronger train-sample aggregation, a stability-selected ridge policy, or a new SAE/common-basis packet."
HellaSwag bagged hidden-innovation packet,new positive third-sample robustness gate / live ICLR method candidate,aggregation=mean_zscore; component models=9; train samples=3 with new samples=2; eval/source-label/best-label=0.513/0.462/0.464; jackknife subbags pass=3/3,delta vs best label-copy=0.049; CI95 low/high=0.026/0.070; delta vs score-only bagged=0.051; zero/wrong/roll controls=0.462/0.438/0.390; jackknife min delta/CI low=0.032/0.011; record bytes=5B,"This directly addresses the fresh train-sample failure by bagging over train-row samples and split seeds without increasing packet bytes. The third train sample and 2-of-3 jackknife subbags now pass, so the next ICLR gate is a frozen larger/full-validation slice plus native systems rows."
HellaSwag heldout-slice hidden-innovation stress,new positive frozen heldout-slice gate / HellaSwag headline-candidate,slice=1024:2048; eval/source-label/best-label=0.454/0.409/0.414; train samples=3; jackknife subbags pass=3/3,delta vs best label-copy=0.040; CI95 low/high=0.019/0.062; delta vs score-only bagged=0.045; zero/wrong/roll controls=0.409/0.387/0.372; record bytes=5B,"This is the first frozen post-first1024 validation-slice pass for the bagged hidden-innovation packet and directly reduces slice-overfit risk. It upgrades HellaSwag to a headline-candidate hard benchmark, but the comfortable ICLR gate is still full validation or predeclared multi-slice stress plus native systems rows."
HellaSwag multi-slice hidden-innovation stress,new positive 9-slice gate / stronger HellaSwag headline-candidate,slices=9/9 contiguous; rows=9216; weighted selected/best-label/score-only=0.525/0.484/0.479; latest heldout slice=8192:9216,min delta vs best label-copy=0.034; min CI95 low=0.012; min delta vs score-only/zero-hidden=0.037/0.037; wrong/roll max=0.494/0.454; record bytes=5B,"This is the strongest Mac-local HellaSwag evidence so far: the same 2B raw / 5B framed source-private hidden-innovation packet clears validation rows 0:9216 under label-copy, score-only, zero-hidden, corrupted-hidden, and jackknife checks. It still does not replace the remaining validation slices, a strict cross-family falsification pair, or native NVIDIA systems rows."
HellaSwag terminal-tail full-validation stress,new soft-fail full-validation diagnostic / not overclaimed,terminal slice=9216:10042; pass=False; selected/best-label/score-only=0.540/0.499/0.498; jackknife=1/3,tail delta vs best label-copy=0.041; tail CI95 low=0.013; jackknife min CI95 low=-0.007; full rows=10042; full weighted selected/best-label=0.527/0.485,"The terminal tail has a positive overall paired margin, but the strict slice gate fails because one jackknife subbag has a non-positive lower bound. This records that HellaSwag is not a full-validation strict pass; the defensible headline remains validation[0:9216] until either a predeclared tail-repeat rule or a stronger repair packet clears the short terminal slice."
HellaSwag anchor-relative common-basis stress,new negative common-basis diagnostic / HellaSwag branch blocker,slices=0/5 strict; rows=5120; weighted selected/best-label/score-only=0.470/0.462/0.456; dense gap=-0.034,weighted lift over best label-copy=0.008; min slice lift/CI low=0.005/-0.015; anchor controls below label-copy=True; record bytes=5B,"The train-only anchor-relative common-basis bottleneck preserves a small aggregate lift but fails every strict slice and trails the dense hidden-innovation packet by more than three accuracy points. This blocks any strong common-basis claim; the next method branch should test top-k/RBF/spectral anchor features or a learned shared sparse code, while keeping this negative result as a reviewer-facing anti-overclaim."
HellaSwag PQ hidden-code branch kill,new negative hidden-code/codebook gate / HellaSwag receiver-improvement cut,eval slice=1024:2048; default/packet-only=0.497/0.502; best scout=0.509; packet=1B raw/4B framed,default delta vs packet-only=-0.005; default CI95 low=-0.018; best scout delta/CI95 low=0.007/0.000; control max delta=0.000,This is the newest Mac-local HellaSwag decision. Product-quantized TinyLlama hidden residuals are sensitive to destructive controls but do not add stable utility beyond the compact candidate packet. Cut HellaSwag receiver-improvement from the headline story; keep the benchmark for systems/headroom/negative ablation unless a true learned query/cache connector revives it.
HellaSwag repair systems acceptance card,superseded local acceptance row / demoted by later HellaSwag branch-kill gates,7 HellaSwag repair rows audited; systems audit=True; method gate=True; native queue allowed=False,best repair=hidden_innovation_repair with delta vs source-label copy=0.037; strict required delta=0.02; max oracle gap remaining=0.303,"This historical acceptance card explains why the dense hidden-innovation branch was worth stress-testing, but it is no longer the current paper headline after terminal-tail, anchor-relative common-basis, switch-observability, discrete-query, and PQ hidden-code failures. Use it as a diagnostic, not as an ICLR method claim."
ARC-Challenge public anchor-relative coordinate ablation,"positive common-basis robustness evidence, not a hashed-basis superiority claim",validation seed stability=5/5 with matched mean/min=0.386/0.381; test seed stability=5/5 with matched mean/min=0.344/0.344,test min lift over target=0.078; min lift over best destructive=0.067; min lift over same-byte text=0.033; min CI95 low vs target=0.039,This strengthens the common-basis story by replacing direct hashed coordinates with public train-anchor-relative similarities while preserving the ARC pass. It does not beat the direct hashed basis by enough to claim anchor-relative superiority; anchor-identity/value-shuffle and random-anchor controls are still needed. The source decision is still a Qwen choice cache; a second public benchmark or stronger learned hidden-state endpoint remains needed for ICLR.
ARC-Challenge anchor-coordinate falsification controls,new reviewer-facing control surface,ID-shuffle validation/test pass counts=0/5 and 0/5; value-shuffle validation/test pass counts=0/5 and 0/5; random shared anchors validation/test=5/5 and 5/5,test matched mean ID/value/random=0.248/0.246/0.344; target/text=0.265/0.311,"ID/value mismatch collapse shows sender and receiver need the same coordinate chart. Random shared anchors passing shows semantic train anchors are not necessary, so the safe claim is public common-basis packet communication rather than semantic-anchor superiority."
ARC-Challenge Fourier/anchor-syndrome common-basis packet,new positive common-basis packet gate,validation/test pass=True/True; test seed stability=5/5; test matched/target/text mean=0.344/0.265/0.311; mismatch controls collapse=True,12B payload; 384->96 spectral basis; min lift target=0.078; min lift text=0.032; min CI95 low=0.038; ID/value/spectral mismatch pass counts=0/0/0,"This promotes a cleaner shared-coordinate mechanism: the source and receiver communicate through public train-anchor relative coordinates compressed by a deterministic low-frequency DCT-II syndrome. Anchor-ID, anchor-value, and spectral-bin mismatch controls collapse, but random shared anchors still pass, so the safe claim is shared public-coordinate agreement rather than semantic anchor superiority. ICLR still needs strict cross-family/source-cache controls and native systems comparisons."
ARC-Challenge TinyLlama source-family cache falsification,new negative source-family/source-cache gate / ICLR blocker sharpened,TinyLlama full-slice test pass=5/5; Qwen-disagreement test pass=0/5; disagreement rows=473; agreement rate=0.596,full-slice matched/target/text=0.325/0.265/0.298; Qwen-disagreement matched/Qwen-sub/target=0.269/0.317/0.268; min matched-Qwen-sub=-0.051,"This is the source-family gate reviewers would ask for: rebuild the source-choice cache with a different local source family and then evaluate rows where Qwen and the alternate source disagree. The full ARC test slice remains positive, but the disagreement slice fails and Qwen-substituted packets are stronger. Therefore the ARC Fourier row remains source-cache specific until a stronger alternate source, learned source endpoint, or NVIDIA-scale connector passes."
ARC-Challenge Qwen-1.5B stronger-source diagnostic,new positive same-family stronger-source test / not yet cross-family,alternate source=qwen2.5_1.5b; validation pass=False; test full-slice pass=5/5; test Qwen-disagreement pass=5/5; disagreement rows=388,test full matched/target/text=0.442/0.265/0.401; test disagreement matched/Qwen-sub/text/target=0.482/0.184/0.456/0.296; min matched-Qwen-sub=0.294; CI95 low vs Qwen-sub=0.216,"A stronger same-family Qwen-1.5B source repairs the frozen test disagreement surface, which shows the public-basis packet can carry useful stronger-source decisions. This is not yet an ICLR source-family claim because the validation disagreement slice fails the strict pass rule and the source is same-family rather than a true cross-family falsification."
