row_class,method,surface,communicated_object,claim_class,source_private,source_text_exposed,source_kv_exposed,source_destroying_controls,accuracy,target_accuracy,delta_vs_target,raw_payload_bytes,single_request_cacheline_bytes,single_request_dma_bytes,batch64_packet_line_bytes_per_request,batch64_packet_dma_bytes_per_request,raw_ratio_vs_packet,cacheline_ratio_vs_packet,dma_ratio_vs_packet,batch64_line_ratio_vs_packet,ttft_ms,p50_ttft_delta_vs_packet_ms,traffic_conclusion,overclaim_guard
endpoint_packet,LatentWire endpoint packet,core n160 label_strict,diagnostic atom packet,mac_endpoint_proxy,True,False,False,passed,0.675,0.25,0.425,2,64,128,5,6,1,1,1,1,471.636,0,source-private packet stays below one cache line when batched and avoids text/KV movement,Do not claim production GPU serving throughput from this row.
endpoint_packet,LatentWire endpoint packet,holdout n160 label_strict,diagnostic atom packet,mac_endpoint_proxy,True,False,False,passed,0.6875,0.25,0.4375,2,64,128,5,6,1,1,1,1,547.21,0,source-private packet stays below one cache line when batched and avoids text/KV movement,Do not claim production GPU serving throughput from this row.
endpoint_text_relay,query-aware diagnostic text,core n160 label_strict,private diagnostic text,text_relay_comparator,False,True,False,not_applicable,,0.25,,14,64,128,,,7,1,1,,,,query-aware text ties one cache line but exposes private text and uses 7x raw bytes,Do not call higher-byte text failure when it catches up.
endpoint_text_relay,full hidden-log relay,core n160 label_strict,private diagnostic text,text_relay_comparator,False,True,False,not_applicable,,0.25,,366.5,384,384,,,183.25,6,3,,635.909,164.273,full private text relay costs multiple cache lines and adds endpoint TTFT,Do not call higher-byte text failure when it catches up.
endpoint_text_relay,query-aware diagnostic text,holdout n160 label_strict,private diagnostic text,text_relay_comparator,False,True,False,not_applicable,,0.25,,14,64,128,,,7,1,1,,,,query-aware text ties one cache line but exposes private text and uses 7x raw bytes,Do not call higher-byte text failure when it catches up.
endpoint_text_relay,full hidden-log relay,holdout n160 label_strict,private diagnostic text,text_relay_comparator,False,True,False,not_applicable,,0.25,,373.5,384,384,,,186.75,6,3,,730.755,183.545,full private text relay costs multiple cache lines and adds endpoint TTFT,Do not call higher-byte text failure when it catches up.
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,semantic-anchor atom packet,medium_confirmation_accounting,True,False,False,passed,,0.25,,4,64,128,7,8,2,1,1,1.4,,,source-private packet stays below one cache line when batched and avoids text/KV movement,Do not claim prompt-contract-free or activation-level latent transfer from this row.
semantic_anchor_medium,semantic-anchor source-private packet,heldout paraphrase n512 x 3 seeds,semantic-anchor atom packet,medium_confirmation_accounting,True,False,False,passed,,0.25,,8,64,128,11,12,4,1,1,2.2,,,source-private packet stays below one cache line when batched and avoids text/KV movement,Do not claim prompt-contract-free or activation-level latent transfer from this row.
kv_byte_floor,QJL-style 1-bit source KV byte floor,endpoint source context byte accounting,quantized source KV/cache tensor,kv_cache_lower_bound,False,False,True,not_applicable,,,,21504,21504,21504,,,10752,336,168,,,,"KV/cache transport is a lower-bound accounting row, not a native benchmark",Do not claim superiority over native KV/cache compression.
kv_byte_floor,KIVI/KVQuant-style 2-bit source KV byte floor,endpoint source context byte accounting,quantized source KV/cache tensor,kv_cache_lower_bound,False,False,True,not_applicable,,,,43008,43008,43008,,,21504,672,336,,,,"KV/cache transport is a lower-bound accounting row, not a native benchmark",Do not claim superiority over native KV/cache compression.
